Unnamed: 0,DET,CHI
First Downs,25,14
Rush-Yds-TDs,26-90-2,20-151-3
Cmp-Att-Yd-TD-INT,30-47-350-1-1,18-28-141-2-0
Sacked-Yards,5-42,2-16
Net Pass Yards,308,125
Total Yards,398,276
Fumbles-Lost,2-1,2-0
Turnovers,2,0
Penalties-Yards,7-51,3-36
Third Down Conv.,7-17,2-10
Fourth Down Conv.,0-1,1-1
Time of Possession,36:30,23:30
