Unnamed: 0,NYJ,PIT
First Downs,16,30
Rush-Yds-TDs,17-72-0,24-61-0
Cmp-Att-Yd-TD-INT,25-38-255-1-0,34-47-380-4-0
Sacked-Yards,3-11,1-5
Net Pass Yards,244,375
Total Yards,316,436
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,4-18,1-10
Third Down Conv.,2-11,5-10
Fourth Down Conv.,0-1,0-1
Time of Possession,28:10,31:50
