Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NYJ 25,0,0,Ryan Fitzpatrick pass complete short middle to Quincy Enunwa for 13 yards (tackle by Vince Williams and Mike Mitchell),0.610,1.470
1,14:24,1,10,NYJ 38,0,0,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 10 yards (tackle by Ross Cockrell),1.470,2.130
1,13:45,1,10,NYJ 48,0,0,Matt Forte right tackle for 8 yards (tackle by Vince Williams and Mike Mitchell),2.130,2.660
1,13:04,2,2,PIT 44,0,0,Ryan Fitzpatrick pass complete deep left to Brandon Marshall for 18 yards (tackle by Ross Cockrell). Penalty on Ross Cockrell: Defensive Pass Interference (Declined),2.660,3.840
1,12:50,1,10,PIT 26,0,0,Ryan Fitzpatrick pass incomplete short left intended for Bilal Powell (defended by Arthur Moats),3.840,3.300
1,12:38,2,10,PIT 26,0,0,Ryan Fitzpatrick right end for 9 yards (tackle by Artie Burns),3.300,3.950
1,11:54,3,1,PIT 17,0,0,Ryan Fitzpatrick pass incomplete short right intended for Brandon Marshall (defended by Ross Cockrell),3.950,2.460
1,11:50,4,1,PIT 17,3,0,Nick Folk 35 yard field goal good,2.460,3.000
1,11:50,,,NYJ 35,3,0,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
1,11:45,1,10,PIT 25,3,0,Ben Roethlisberger pass complete short left to Jesse James for 3 yards (tackle by Calvin Pryor),0.610,0.470
1,11:10,2,7,PIT 28,3,0,DeAngelo Williams middle for no gain (tackle by Leonard Williams and Steve McLendon),0.470,-0.230
1,10:25,3,7,PIT 28,3,6,"Ben Roethlisberger pass complete deep right to Sammie Coates for 72 yards, touchdown",-0.230,7.000
1,10:25,,,NYJ 28,3,7,Chris Boswell kicks extra point good,0.000,0.000
1,10:25,,,PIT 35,3,7,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
1,10:16,1,10,NYJ 25,3,7,Ryan Fitzpatrick pass complete short right to Brandon Bostick for 9 yards (tackle by Lawrence Timmons and Sean Davis),0.610,1.280
1,9:39,2,1,NYJ 34,3,7,Matt Forte middle for 4 yards (tackle by Javon Hargrave),1.280,1.470
1,9:03,1,10,NYJ 38,3,7,Matt Forte middle for no gain (tackle by Cameron Heyward),1.470,0.920
1,8:23,2,10,NYJ 38,3,7,Ryan Fitzpatrick pass complete short right to Bilal Powell for 1 yard (tackle by Sean Davis and Lawrence Timmons),0.920,0.370
1,7:42,3,9,NYJ 39,3,7,Ryan Fitzpatrick pass complete deep left to Brandon Marshall for 18 yards (tackle by Mike Mitchell),0.370,2.720
1,6:59,1,10,PIT 43,3,7,Ryan Fitzpatrick pass incomplete deep middle intended for Robby Anderson,2.720,2.180
1,6:53,2,10,PIT 43,3,7,Matt Forte middle for 1 yard (tackle by James Harrison and Vince Williams),2.180,1.620
1,6:14,3,9,PIT 42,3,7,Ryan Fitzpatrick pass incomplete short left intended for Brandon Marshall,1.620,0.460
1,6:09,4,9,PIT 42,3,7,"Lac Edwards punts 42 yards, touchback",0.460,-0.280
1,6:01,1,10,PIT 20,3,7,Ben Roethlisberger pass incomplete short middle intended for Jesse James (defended by David Harris),0.280,-0.270
1,5:57,2,10,PIT 20,3,7,Ben Roethlisberger pass complete short right to Antonio Brown for 11 yards (tackle by Erin Henderson and Marcus Williams),-0.270,1.000
1,5:18,1,10,PIT 31,3,7,Le'Veon Bell middle for 6 yards (tackle by David Harris),1.000,1.270
1,4:32,2,4,PIT 37,3,7,Le'Veon Bell left guard for 3 yards (tackle by David Harris),1.270,0.960
1,4:01,3,1,PIT 40,3,7,Le'Veon Bell right guard for 10 yards (tackle by Erin Henderson),0.960,2.260
1,3:15,1,10,PIT 50,3,7,Ben Roethlisberger pass complete short left to Antonio Brown for no gain,2.260,1.710
1,2:35,2,10,PIT 50,3,7,"Le'Veon Bell right guard for 3 yards (tackle by Muhammad Wilkerson and Buster Skrine). Penalty on Alejandro Villanueva: Offensive Holding, 10 yards (no play)",1.710,0.360
1,2:11,2,20,PIT 40,3,7,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 5 yards (tackle by Marcus Gilchrist and Erin Henderson),0.360,0.370
1,1:26,3,15,PIT 45,3,7,Le'Veon Bell middle for no gain (tackle by Muhammad Wilkerson),0.370,-0.390
1,0:54,4,15,PIT 45,3,7,"Jordan Berry punts 44 yards, fair catch by Jeremy Ross",-0.390,0.370
1,0:47,1,10,NYJ 11,3,7,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 9 yards (tackle by Ross Cockrell),-0.370,0.360
1,0:13,2,1,NYJ 20,3,7,Matt Forte middle for no gain (tackle by Jarvis Jones),0.360,-0.370
Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NYJ 20,3,7,Matt Forte right tackle for 28 yards (tackle by Mike Mitchell),-0.370,2.130
2,14:29,1,10,NYJ 48,3,7,Matt Forte right tackle for 6 yards (tackle by Jarvis Jones),2.130,2.390
2,13:53,2,4,PIT 46,3,7,Ryan Fitzpatrick pass complete short right to Austin Seferian-Jenkins for 8 yards (tackle by Vince Williams),2.390,3.050
2,13:16,1,10,PIT 38,3,7,"Ryan Fitzpatrick sacked by Anthony Chickillo for -8 yards. Ryan Fitzpatrick fumbles (forced by Anthony Chickillo), recovered by Ryan Fitzpatrick at PIT-45",3.050,1.560
2,12:32,2,17,PIT 45,3,7,Ryan Fitzpatrick pass complete short middle to Quincy Enunwa for 9 yards (tackle by Lawrence Timmons and Jordan Dangerfield),1.560,2.080
2,11:48,3,8,PIT 36,3,7,Ryan Fitzpatrick pass complete short middle to Charone Peake for 6 yards (tackle by Artie Burns),2.080,1.500
2,11:12,4,2,PIT 30,6,7,Nick Folk 48 yard field goal good,1.500,3.000
2,11:12,,,NYJ 35,6,7,"Nick Folk kicks off 66 yards, returned by Sammie Coates for 23 yards (tackle by Marcus Gilchrist)",0.000,-0.410
2,11:00,1,10,PIT 22,6,7,Ben Roethlisberger pass complete short left to Le'Veon Bell for 12 yards (tackle by Marcus Williams),0.410,1.200
2,10:21,1,10,PIT 34,6,7,Ben Roethlisberger pass incomplete short right intended for DeAngelo Williams (defended by Muhammad Wilkerson),1.200,0.660
2,10:17,2,10,PIT 34,6,7,Ben Roethlisberger pass complete short right to Le'Veon Bell for 12 yards (tackle by Darryl Roberts),0.660,1.990
2,9:37,1,10,PIT 46,6,7,Le'Veon Bell middle for 1 yard (tackle by Calvin Pryor and David Harris),1.990,1.590
2,8:55,2,9,PIT 47,6,7,"Ben Roethlisberger pass complete short right to Jesse James for 6 yards (tackle by David Harris and Jordan Jenkins). Penalty on Jordan Jenkins: Illegal Use of Hands, 4 yards (no play)",1.590,2.320
2,8:24,1,10,NYJ 49,6,7,Ben Roethlisberger pass complete short left to Le'Veon Bell for 4 yards (tackle by Marcus Gilchrist and Erin Henderson),2.320,2.320
2,7:41,2,6,NYJ 45,6,7,Le'Veon Bell left guard for 9 yards (tackle by David Harris),2.320,3.180
2,6:57,1,10,NYJ 36,6,7,Ben Roethlisberger pass incomplete deep right intended for Markus Wheaton,3.180,3.180
2,6:47,1,10,NYJ 36,6,7,Timeout #1 by New York Jets,3.180,2.640
2,6:47,2,10,NYJ 36,6,7,Ben Roethlisberger pass complete short left to Jesse James for 8 yards (tackle by Muhammad Wilkerson),2.640,3.010
2,6:05,3,2,NYJ 28,6,7,Ben Roethlisberger pass incomplete deep right intended for Sammie Coates,3.010,1.700
2,6:00,4,2,NYJ 28,6,7,"Jordan Berry right end for no gain (tackle by Rontez Miles). Jordan Berry fumbles (forced by Rontez Miles), ball out of bounds at NYJ-27. Penalty on Alejandro Villanueva: Illegal Formation (Declined)",1.700,-1.000
2,5:54,1,10,NYJ 31,6,7,Ryan Fitzpatrick pass complete short left to Bilal Powell for 13 yards (tackle by Lawrence Timmons and Arthur Moats),1.000,1.860
2,5:12,1,10,NYJ 44,6,7,Bilal Powell middle for 5 yards (tackle by Stephon Tuitt and Jordan Dangerfield),1.860,1.990
