Quarter,Time,Tm,Detail,NYJ,PIT
1.0,11:45,Jets,Nick Folk 35 yard field goal,3,0
,10:16,Steelers,Sammie Coates 72 yard pass from Ben Roethlisberger (Chris Boswell kick),3,7
2.0,11:07,Jets,Nick Folk 48 yard field goal,6,7
,2:06,Jets,Brandon Marshall 15 yard pass from Ryan Fitzpatrick (Nick Folk kick),13,7
,0:41,Steelers,Jesse James 1 yard pass from Ben Roethlisberger (Chris Boswell kick),13,14
3.0,10:23,Steelers,Chris Boswell 47 yard field goal,13,17
4.0,14:55,Steelers,Antonio Brown 5 yard pass from Ben Roethlisberger (Chris Boswell kick),13,24
,1:46,Steelers,Sammie Coates 5 yard pass from Ben Roethlisberger (Chris Boswell kick),13,31
