Quarter,Time,Tm,Detail,OAK,CIN
1.0,8:34,Bengals,Chris Henry 8 yard pass from Carson Palmer (Shayne Graham kick),0,7
,2:27,Bengals,Rudi Johnson 9 yard rush (Shayne Graham kick),0,14
2.0,0:22,Raiders,Sebastian Janikowski 33 yard field goal,3,14
3.0,5:31,Bengals,Rudi Johnson 6 yard rush (Shayne Graham kick),3,21
,0:59,Bengals,T.J. Houshmandzadeh 20 yard pass from Carson Palmer (Shayne Graham kick failed),3,27
4.0,11:26,Raiders,Ronald Curry 5 yard pass from Aaron Brooks (Sebastian Janikowski kick),10,27
