Unnamed: 0,OAK,CIN
First Downs,14,28
Rush-Yds-TDs,16-45-0,39-136-2
Cmp-Att-Yd-TD-INT,23-39-199-1-1,21-29-303-2-3
Sacked-Yards,4-21,0-0
Net Pass Yards,178,303
Total Yards,223,439
Fumbles-Lost,2-1,1-1
Turnovers,2,4
Penalties-Yards,6-38,5-40
Third Down Conv.,7-14,7-11
Fourth Down Conv.,1-3,0-0
Time of Possession,24:15,35:45
