Unnamed: 0,ARI,LAR
First Downs,21,9
Rush-Yds-TDs,24-84-1,22-52-0
Cmp-Att-Yd-TD-INT,22-42-263-3-2,17-28-143-0-2
Sacked-Yards,1-3,7-72
Net Pass Yards,260,71
Total Yards,344,123
Fumbles-Lost,1-0,5-1
Turnovers,2,3
Penalties-Yards,4-51,9-61
Third Down Conv.,4-14,2-14
Fourth Down Conv.,1-2,1-2
Time of Possession,27:58,32:02
