Unnamed: 0,IND,JAX
First Downs,23,23
Rush-Yds-TDs,20-34-2,42-375-4
Cmp-Att-Yd-TD-INT,25-50-313-0-1,8-14-79-0-1
Sacked-Yards,2-8,1-7
Net Pass Yards,305,72
Total Yards,339,447
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,7-71,3-31
Third Down Conv.,7-16,2-9
Fourth Down Conv.,0-2,0-1
Time of Possession,28:23,31:37
