Quarter,Time,Tm,Detail,OAK,KAN
1.0,4:41,Chiefs,Morten Andersen 46 yard field goal,0,3
,0:12,Raiders,Doug Jolley 1 yard pass from Rich Gannon (Sebastian Janikowski kick),7,3
2.0,2:35,Chiefs,Morten Andersen 22 yard field goal,7,6
3.0,1:22,Chiefs,Priest Holmes 3 yard rush (Morten Andersen kick),7,13
4.0,11:34,Raiders,Sebastian Janikowski 32 yard field goal,10,13
,1:55,Chiefs,Tony Richardson 4 yard pass from Trent Green (Morten Andersen kick),10,20
