Unnamed: 0,OAK,KAN
First Downs,26,22
Rush-Yds-TDs,17-83-0,30-133-1
Cmp-Att-Yd-TD-INT,35-55-334-1-1,18-30-208-1-2
Sacked-Yards,0-0,3-18
Net Pass Yards,334,190
Total Yards,417,323
Fumbles-Lost,2-1,1-0
Turnovers,2,2
Penalties-Yards,6-27,4-33
Third Down Conv.,3-9,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:27,31:33
