Unnamed: 0,BUF,NYJ
First Downs,21,12
Rush-Yds-TDs,30-159-0,27-81-1
Cmp-Att-Yd-TD-INT,23-37-184-2-4,11-20-153-0-0
Sacked-Yards,2-12,4-27
Net Pass Yards,172,126
Total Yards,331,207
Fumbles-Lost,3-0,0-0
Turnovers,4,0
Penalties-Yards,3-30,6-40
Third Down Conv.,8-14,3-12
Fourth Down Conv.,0-1,1-1
Time of Possession,33:58,26:02
