Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 66 yards, returned by Justin Miller for 18 yards (tackle by Joe Burns)",0.000,0.410
1,14:55,1,10,NYJ 22,0,0,Cedric Houston left tackle for -1 yards (tackle by Tim Anderson),0.410,-0.270
1,14:17,2,11,NYJ 21,0,0,Brooks Bollinger pass complete to Cedric Houston for 6 yards (tackle by Tim Anderson),-0.270,-0.160
1,13:32,3,5,NYJ 27,0,0,Cedric Houston right tackle for 4 yards (tackle by Ryan Denney),-0.160,-1.310
,,,,,,,"NYJ challenged the ruling, and the original play was overturned.",,
1,13:18,4,1,NYJ 31,0,0,"Ben Graham punts 37 yards, returned by Roscoe Parrish for 8 yards (tackle by Barry Gardner). Roscoe Parrish fumbles, recovered by Roscoe Parrish at BUF-40",-1.310,-1.860
1,13:07,1,10,BUF 44,0,0,Lee Evans left end for 39 yards (tackle by John Abraham and Lance Legree). Penalty on Lance Legree: Defensive Offside (Declined),1.860,4.440
1,12:37,1,10,NYJ 17,0,0,"Penalty on Lance Legree: Defensive Offside, 5 yards (no play)",4.440,5.520
1,12:24,1,5,NYJ 12,0,0,Willis McGahee right end for 1 yard (tackle by Mark Brown),5.520,4.890
1,11:47,2,4,NYJ 11,0,0,Kelly Holcomb pass incomplete intended for Mark Campbell,4.890,4.100
1,11:42,3,4,NYJ 11,0,0,Kelly Holcomb pass complete to Josh Reed for 5 yards (tackle by David Barrett and Kerry Rhodes),4.100,5.830
1,11:01,1,6,NYJ 6,0,0,Kelly Holcomb pass incomplete intended for Lee Evans (defended by Sione Pouha),5.830,4.950
1,10:55,2,6,NYJ 6,0,0,Willis McGahee left guard for 2 yards (tackle by Bryan Thomas and James Reed),4.950,4.490
1,10:14,3,4,NYJ 4,0,0,Kelly Holcomb pass complete to Daimon Shelton for 1 yard (tackle by Victor Hobson),4.490,3.040
1,10:14,4,3,NYJ 3,3,0,Rian Lindell 21 yard field goal good,3.040,3.000
1,,,,BUF 30,3,0,"Rian Lindell kicks off 63 yards, returned by Justin Miller for 34 yards (tackle by Josh Stamer)",0.000,1.660
1,9:21,1,10,NYJ 41,3,0,Brooks Bollinger sacked by Sam Adams for -8 yards,1.660,0.040
1,8:49,2,18,NYJ 33,3,0,Cedric Houston left end for 1 yard (tackle by London Fletcher),0.040,-0.490
1,8:09,3,17,NYJ 34,3,0,Brooks Bollinger pass incomplete intended for Laveranues Coles. Penalty on Laveranues Coles: Illegal Touch Pass (Declined),-0.490,-1.110
1,7:53,4,17,NYJ 34,3,0,"Ben Graham punts 51 yards, returned by Roscoe Parrish for 14 yards (tackle by Rashad Washington)",-1.110,-0.870
1,7:47,1,10,BUF 29,3,0,"Kelly Holcomb pass incomplete intended for Lee Evans is intercepted by Ty Law at NYJ-49 and returned for 12 yards. Penalty on Ty Law: Illegal Forward Pass, 5 yards",0.870,-2.650
1,7:29,1,10,BUF 44,3,0,Brooks Bollinger pass complete to Justin McCareins for 6 yards (tackle by Angelo Crowell),2.650,2.920
1,6:56,2,4,BUF 38,3,0,Cedric Houston right end for 7 yards (tackle by London Fletcher),2.920,3.510
1,6:20,1,10,BUF 31,3,0,Derrick Blaylock right tackle for 5 yards (tackle by Angelo Crowell),3.510,3.640
1,5:46,2,5,BUF 26,3,0,Brooks Bollinger sacked by Sam Adams for -5 yards,3.640,2.280
1,5:08,3,10,BUF 31,3,0,Brooks Bollinger pass incomplete intended for Justin McCareins,2.280,1.320
1,5:08,4,10,BUF 31,3,3,Mike Nugent 49 yard field goal good,1.320,3.000
1,,,,NYJ 30,3,3,"Mike Nugent kicks off 63 yards, returned by Terrence McGee for 26 yards (tackle by Ryan Myers)",0.000,1.140
1,4:52,1,10,BUF 33,3,3,Willis McGahee up the middle for 7 yards (tackle by John Abraham and Mark Brown),1.140,1.540
1,4:13,2,3,BUF 40,3,3,Kelly Holcomb pass complete to Eric Moulds for 21 yards (tackle by Kerry Rhodes),1.540,2.980
1,3:36,1,10,NYJ 39,3,3,Willis McGahee right end for 5 yards (tackle by David Barrett),2.980,3.120
1,3:13,2,5,NYJ 34,3,3,Willis McGahee right tackle for 1 yard (tackle by Lance Legree and Jonathan Vilma),3.120,2.540
1,2:35,3,4,NYJ 33,3,3,Kelly Holcomb pass complete to Lee Evans for 10 yards (tackle by Justin Miller),2.540,4.040
1,2:03,1,10,NYJ 23,3,3,Willis McGahee left tackle for 9 yards (tackle by Kerry Rhodes and Derrick Strait),4.040,4.950
