Quarter,Time,Tm,Detail,NYJ,DET
1.0,14:40,Lions,Quandre Diggs 37 yard interception return (Matt Prater kick),0,7
,4:20,Jets,Isaiah Crowell 6 yard rush (Jason Myers kick),7,7
2.0,14:57,Jets,Jason Myers 35 yard field goal,10,7
,1:51,Jets,Robbie Chosen 41 yard pass from Sam Darnold (Jason Myers kick),17,7
,0:11,Lions,Matt Prater 21 yard field goal,17,10
3.0,13:10,Lions,Golden Tate 24 yard pass from Matthew Stafford (Matt Prater kick),17,17
,9:36,Jets,Quincy Enunwa 21 yard pass from Sam Darnold (Jason Myers kick),24,17
,8:07,Jets,Darron Lee 36 yard interception return (Jason Myers kick),31,17
,7:00,Jets,Andre Roberts 78 yard punt return (Jason Myers kick),38,17
,5:15,Jets,Jason Myers 32 yard field goal,41,17
,0:54,Jets,Isaiah Crowell 62 yard rush (Jason Myers kick),48,17
