Unnamed: 0,NYJ,DET
First Downs,18,20
Rush-Yds-TDs,36-169-2,15-39-0
Cmp-Att-Yd-TD-INT,16-21-198-2-1,29-52-300-1-5
Sacked-Yards,2-18,0-0
Net Pass Yards,180,300
Total Yards,349,339
Fumbles-Lost,1-1,0-0
Turnovers,2,5
Penalties-Yards,7-49,3-15
Third Down Conv.,6-14,3-13
Fourth Down Conv.,2-3,0-2
Time of Possession,33:07,26:53
