Quarter,Time,Tm,Detail,DET,ATL
1.0,3:25,Lions,Riley Patterson 26 yard field goal,3,0
2.0,11:01,Falcons,Cordarrelle Patterson 6 yard rush (Younghoe Koo kick),3,7
,3:44,Lions,Amon-Ra St. Brown 20 yard pass from Tim Boyle (Riley Patterson kick),10,7
,1:04,Falcons,Younghoe Koo 53 yard field goal,10,10
3.0,10:11,Falcons,Younghoe Koo 48 yard field goal,10,13
,3:06,Lions,Riley Patterson 37 yard field goal,13,13
4.0,13:04,Falcons,Hayden Hurst 12 yard pass from Matt Ryan (Younghoe Koo kick),13,20
,2:38,Lions,Riley Patterson 26 yard field goal,16,20
