Unnamed: 0,DET,ATL
First Downs,19,14
Rush-Yds-TDs,33-130-0,18-47-1
Cmp-Att-Yd-TD-INT,25-35-208-1-1,18-24-215-1-0
Sacked-Yards,0-0,3-8
Net Pass Yards,208,207
Total Yards,338,254
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,6-30,2-15
Third Down Conv.,7-16,2-8
Fourth Down Conv.,3-4,1-1
Time of Possession,38:05,21:55
