Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,Najee Harris up the middle for 2 yards (tackle by Patrick Queen and Jadeveon Clowney),0.610,0.330
1,14:24,2,8,PIT 27,0,0,Mason Rudolph pass complete short right to Najee Harris for 7 yards (tackle by Arthur Maulet),0.330,0.560
1,13:40,3,1,PIT 34,0,0,Mason Rudolph pass complete short middle to Diontae Johnson for 7 yards (tackle by Del'Shawn Phillips),0.560,1.660
1,12:55,1,10,PIT 41,0,0,Jaylen Warren left end for no gain (tackle by Del'Shawn Phillips and Travis Jones),1.660,1.120
1,12:16,2,10,PIT 41,0,0,Mason Rudolph pass complete short right to Diontae Johnson for 6 yards (tackle by Del'Shawn Phillips),1.120,1.220
1,11:49,3,4,PIT 47,0,0,Mason Rudolph pass incomplete short middle intended for Allen Robinson (defended by Marcus Williams),1.220,-0.260
1,11:44,4,4,PIT 47,0,0,"Pressley Harvin punts 34 yards, fair catch by Tylan Wallace at BAL-19",-0.260,-0.150
1,11:37,1,10,BAL 19,0,0,Tyler Huntley scrambles left end for 2 yards (tackle by Eric Rowe),0.150,-0.060
1,11:02,2,8,BAL 21,0,0,Tyler Huntley pass complete short right to Charlie Kolar for 5 yards (tackle by Eric Rowe),-0.060,-0.160
1,10:26,3,3,BAL 26,0,0,Tyler Huntley pass incomplete short right intended for Justice Hill,-0.160,-1.630
1,10:20,4,3,BAL 26,0,0,"Jordan Stout punts 64 yards, returned by Calvin Austin for 14 yards (tackle by Trenton Simpson)",-1.630,-0.540
1,10:08,1,10,PIT 24,0,0,Najee Harris up the middle for 5 yards (tackle by Marcus Williams and Tavius Robinson),0.540,0.670
1,9:34,2,5,PIT 29,0,0,Najee Harris right guard for 4 yards (tackle by Patrick Queen and Del'Shawn Phillips),0.670,0.500
1,8:54,3,1,PIT 33,0,0,Najee Harris up the middle for 1 yard (tackle by Del'Shawn Phillips),0.500,1.200
