Quarter,Time,Tm,Detail,PIT,BAL
1.0,2:36,Steelers,Najee Harris 6 yard rush (Chris Boswell kick),7,0
2.0,2:19,Ravens,Isaiah Likely 27 yard pass from Tyler Huntley (Justin Tucker kick),7,7
4.0,14:49,Steelers,Diontae Johnson 71 yard pass from Mason Rudolph (Chris Boswell kick),14,7
,3:13,Steelers,Chris Boswell 25 yard field goal,17,7
,0:16,Ravens,Justin Tucker 36 yard field goal,17,10
