Unnamed: 0,PIT,BAL
First Downs,16,13
Rush-Yds-TDs,39-155-1,25-106-0
Cmp-Att-Yd-TD-INT,18-20-152-1-0,15-28-146-1-0
Sacked-Yards,3-18,4-28
Net Pass Yards,134,118
Total Yards,289,224
Fumbles-Lost,6-2,2-2
Turnovers,2,2
Penalties-Yards,4-25,3-26
Third Down Conv.,6-15,4-13
Fourth Down Conv.,0-0,1-1
Time of Possession,34:54,25:06
