Quarter,Time,Tm,Detail,OAK,NOR
1.0,12:23,Raiders,Sebastian Janikowski 47 yard field goal,3,0
,6:31,Saints,Wil Lutz 42 yard field goal,3,3
,1:43,Raiders,Latavius Murray 6 yard rush (Sebastian Janikowski kick),10,3
2.0,11:57,Saints,Willie Snead 1 yard pass from Drew Brees (Wil Lutz kick),10,10
,4:55,Saints,Brandin Cooks 15 yard pass from Drew Brees (Wil Lutz kick),10,17
3.0,7:52,Saints,Brandin Cooks 98 yard pass from Drew Brees (Wil Lutz kick),10,24
,3:11,Raiders,Sebastian Janikowski 31 yard field goal,13,24
4.0,11:53,Raiders,Jamize Olawale 2 yard rush (pass failed),19,24
,8:42,Saints,Wil Lutz 20 yard field goal,19,27
,8:26,Raiders,Jalen Richard 75 yard rush (Amari Cooper pass from Derek Carr),27,27
,6:03,Saints,Travaris Cadet 2 yard pass from Drew Brees (Wil Lutz kick),27,34
,0:47,Raiders,Seth Roberts 10 yard pass from Derek Carr (Michael Crabtree pass from Derek Carr),35,34
