Unnamed: 0,OAK,NOR
First Downs,25,27
Rush-Yds-TDs,26-167-3,22-88-0
Cmp-Att-Yd-TD-INT,24-38-319-1-0,28-42-423-4-0
Sacked-Yards,0-0,1-4
Net Pass Yards,319,419
Total Yards,486,507
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,14-141,7-53
Third Down Conv.,4-11,4-11
Fourth Down Conv.,0-0,1-1
Time of Possession,30:25,29:35
