Quarter,Time,Down,ToGo,Location,BUF,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BUF 25,0,0,Isaiah McKenzie right end for -3 yards (tackle by Lamarcus Joyner),0.610,-0.340
1,14:23,2,13,BUF 22,0,0,Josh Allen pass complete short right to Devin Singletary for 2 yards (tackle by Trayvon Mullen),-0.340,-0.760
1,13:38,3,11,BUF 24,0,0,"Penalty on Maxx Crosby: Neutral Zone Infraction, 5 yards (no play)",-0.760,-0.100
1,13:17,3,6,BUF 29,0,0,Josh Allen pass complete deep right to Stefon Diggs for 21 yards (tackle by Johnathan Abram),-0.100,2.260
1,12:44,1,10,BUF 50,0,0,Josh Allen pass incomplete short left intended for Stefon Diggs,2.260,1.710
1,12:41,2,10,BUF 50,0,0,Josh Allen pass complete short middle to Stefon Diggs for 15 yards (tackle by Cory Littleton),1.710,3.250
1,11:59,1,10,LVR 35,0,0,Josh Allen pass complete short right to Devin Singletary for 6 yards (tackle by Erik Harris),3.250,3.510
1,11:15,2,4,LVR 29,0,0,Devin Singletary left tackle for 3 yards (tackle by Arden Key and Nick Kwiatkoski),3.510,3.200
1,10:44,3,1,LVR 26,6,0,"Josh Allen pass complete deep right to Gabriel Davis for 26 yards, touchdown",3.200,7.000
1,10:37,,,LVR 15,7,0,Tyler Bass kicks extra point good,0.000,0.000
1,10:37,,,BUF 35,7,0,"Tyler Bass kicks off 61 yards, returned by Jalen Richard for 12 yards (tackle by Taiwan Jones and Tyler Matakevich)",0.000,-0.140
1,10:32,1,10,LVR 16,7,0,Derek Carr pass complete short left to Zay Jones for 9 yards (tackle by Levi Wallace and Dean Marlowe),-0.140,0.690
1,10:17,2,1,LVR 25,7,0,Josh Jacobs right guard for 2 yards (tackle by Tremaine Edmunds),0.690,0.740
1,9:42,1,10,LVR 27,7,0,Derek Carr pass incomplete short middle intended for Hunter Renfrow,0.740,0.200
1,9:38,2,10,LVR 27,7,0,Josh Jacobs right tackle for 8 yards (tackle by Jordan Poyer),0.200,0.560
1,9:03,3,2,LVR 35,7,0,Jalen Richard left guard for 6 yards (tackle by Taron Johnson and Matt Milano),0.560,1.660
1,8:23,1,10,LVR 41,7,0,Derek Carr pass incomplete short right intended for Hunter Renfrow,1.660,1.120
