Unnamed: 0,BUF,LVR
First Downs,21,24
Rush-Yds-TDs,24-63-2,23-86-0
Cmp-Att-Yd-TD-INT,24-34-288-2-0,32-44-311-2-0
Sacked-Yards,1-14,2-14
Net Pass Yards,274,297
Total Yards,337,383
Fumbles-Lost,0-0,3-2
Turnovers,0,2
Penalties-Yards,5-81,7-65
Third Down Conv.,7-13,8-14
Fourth Down Conv.,1-1,1-2
Time of Possession,28:18,31:42
