Unnamed: 0,KAN,DEN
First Downs,28,19
Rush-Yds-TDs,31-133-2,19-88-0
Cmp-Att-Yd-TD-INT,26-42-255-0-0,21-26-242-3-0
Sacked-Yards,2-8,1-5
Net Pass Yards,247,237
Total Yards,380,325
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,7-62,11-71
Third Down Conv.,11-16,3-8
Fourth Down Conv.,0-1,1-1
Time of Possession,36:14,23:46
