Quarter,Time,Tm,Detail,NWE,CHI
2.0,14:51,Bears,Paul Edinger 39 yard field goal,0,3
,10:15,Patriots,Adam Vinatieri 57 yard field goal,3,3
,5:31,Bears,Paul Edinger 40 yard field goal,3,6
,0:04,Patriots,Adam Vinatieri 31 yard field goal,6,6
3.0,12:21,Bears,Stanley Pritchett 11 yard pass from Jim Miller (Paul Edinger kick),6,13
,10:09,Bears,Marcus Robinson 44 yard pass from Marty Booker (Paul Edinger kick),6,20
,6:42,Bears,Anthony Thomas 2 yard rush (Paul Edinger kick),6,27
,3:04,Patriots,Kevin Faulk 15 yard pass from Tom Brady (Adam Vinatieri kick),13,27
,1:50,Patriots,Adam Vinatieri 42 yard field goal,16,27
4.0,11:02,Patriots,Adam Vinatieri 25 yard field goal,19,27
,5:22,Bears,Paul Edinger 32 yard field goal,19,30
,2:46,Patriots,Kevin Faulk 36 yard pass from Tom Brady (run failed),25,30
,0:21,Patriots,David Patten 20 yard pass from Tom Brady (Troy Brown pass from Tom Brady),33,30
