Unnamed: 0,NWE,CHI
First Downs,19,14
Rush-Yds-TDs,19-82-0,28-125-1
Cmp-Att-Yd-TD-INT,36-55-328-3-1,16-30-183-2-1
Sacked-Yards,2-13,2-9
Net Pass Yards,315,174
Total Yards,397,299
Fumbles-Lost,3-1,0-0
Turnovers,2,1
Penalties-Yards,6-65,5-30
Third Down Conv.,6-17,5-15
Fourth Down Conv.,3-3,1-1
Time of Possession,31:00,29:00
