Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Paul Edinger kicks off 64 yards, returned by Deion Branch for 33 yards (tackle by Damon Moore)",0.000,1.530
1,14:55,1,10,NWE 39,0,0,Tom Brady pass complete to Daniel Graham for 3 yards (tackle by Christian Peter and Rosevelt Colvin),1.530,1.390
1,14:18,2,7,NWE 42,0,0,Antowain Smith left end for 5 yards (tackle by Reggie Austin),1.390,1.360
1,13:43,3,2,NWE 47,0,0,Kevin Faulk right end for -2 yards (tackle by Brian Urlacher),1.360,-0.390
1,13:43,4,4,NWE 45,0,0,"Ken Walter punts 55 yards, touchback",-0.390,-0.280
1,12:59,1,10,CHI 20,0,0,"Penalty on Ahmad Merritt: False Start, 5 yards (no play)",0.280,-0.310
1,12:59,1,15,CHI 15,0,0,Anthony Thomas right guard for 12 yards (tackle by Otis Smith and Anthony Pleasant),-0.310,0.680
1,12:19,2,3,CHI 27,0,0,Anthony Thomas left end for 3 yards (tackle by Steve Martin),0.680,0.940
1,11:33,1,10,CHI 30,0,0,Chris Chandler sacked by Tedy Bruschi for -6 yards,0.940,-0.420
1,11:05,2,16,CHI 24,0,0,"Penalty on Marc Colombo: False Start, 5 yards (no play)",-0.420,-1.150
1,10:41,2,21,CHI 19,0,0,Chris Chandler pass complete to Stanley Pritchett for 5 yards (tackle by Roman Phifer),-1.150,-1.090
1,10:04,3,16,CHI 24,0,0,"Chris Chandler pass incomplete intended for Marty Booker. Penalty on Terrell Buckley: Defensive Offside, 5 yards (no play)",-1.090,-0.430
1,9:59,3,11,CHI 29,0,0,Chris Chandler pass incomplete intended for Dez White (defended by Tedy Bruschi),-0.430,-1.440
1,9:54,4,11,CHI 29,0,0,"Brad Maynard punts 36 yards, fair catch by Troy Brown",-1.440,-1.330
1,9:46,1,10,NWE 36,0,0,Antowain Smith right guard for 5 yards (tackle by Mike Caldwell),1.330,1.470
1,9:09,2,5,NWE 41,0,0,Tom Brady pass complete to Antowain Smith for no gain,1.470,0.760
1,8:17,3,5,NWE 41,0,0,"Kevin Faulk right guard for 34 yards (tackle by Larry Whigham). Penalty on Deion Branch: Illegal Crackback, 15 yards (no play)",0.760,-1.220
1,8:01,3,20,NWE 26,0,0,Tom Brady pass complete to Troy Brown for 9 yards (tackle by Phillip Daniels),-1.220,-1.040
1,7:18,4,11,NWE 35,0,0,"Ken Walter punts 55 yards, returned by Leon Johnson for 23 yards (tackle by Patrick Pass)",-1.040,-1.140
1,7:05,1,10,CHI 33,0,0,Leon Johnson right tackle for 2 yards (tackle by Bobby Hamilton and Otis Smith),1.140,0.860
1,6:24,2,8,CHI 35,0,0,Chris Chandler pass complete to Dez White for 7 yards (tackle by Ted Johnson),0.860,1.090
1,5:38,3,1,CHI 42,0,0,Leon Johnson right guard for 4 yards (tackle by Lawyer Milloy),1.090,1.990
1,4:59,1,10,CHI 46,0,0,Chris Chandler pass complete to Marty Booker for 3 yards (tackle by Roman Phifer),1.990,1.860
1,4:20,2,7,CHI 49,0,0,Leon Johnson left guard for 2 yards (tackle by Anthony Pleasant and Ted Johnson),1.860,1.420
1,3:36,3,5,NWE 49,0,0,Chris Chandler left tackle for 14 yards (tackle by Lawyer Milloy),1.420,3.250
1,2:48,1,10,NWE 35,0,0,Chris Chandler pass incomplete intended for Marty Booker,3.250,2.700
1,2:44,2,10,NWE 35,0,0,Chris Chandler pass complete to John Davis for 9 yards (tackle by Ty Law),2.700,3.200
1,1:59,3,1,NWE 26,0,0,Leon Johnson left guard for 1 yard (tackle by Jarvis Green),3.200,3.910
1,1:17,1,10,NWE 25,0,0,Leon Johnson right end for 1 yard (tackle by Roman Phifer and Steve Martin),3.910,3.500
1,0:37,2,9,NWE 24,0,0,Chris Chandler pass complete to Stanley Pritchett for 3 yards (tackle by Willie McGinest),3.500,0.750
Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NWE 24,,,Timeout #1 by New England Patriots,0.070,-0.750
2,15:00,3,6,NWE 21,0,0,--,-0.750,-1.960
2,14:55,4,6,NWE 21,0,3,good,-1.960,-3.000
2,14:55,,,CHI 30,0,3,"Paul Edinger kicks off 62 yards, returned by Deion Branch for 22 yards (tackle by Ahmad Merritt)",0.000,0.940
2,14:46,1,10,NWE 30,0,3,Tom Brady pass complete to Marc Edwards for 2 yards (tackle by R.W. McQuarters),0.940,0.660
2,14:09,2,8,NWE 32,0,3,Tom Brady pass incomplete intended for Troy Brown,0.660,-0.030
2,14:06,3,8,NWE 32,0,3,Tom Brady pass complete to Troy Brown for 7 yards (tackle by Rosevelt Colvin),-0.030,-0.780
2,13:33,4,1,NWE 39,0,3,Damon Huard left guard for 4 yards (tackle by Bobbie Howard),-0.780,1.800
2,13:00,1,10,NWE 43,0,3,Tom Brady pass complete to Troy Brown for 4 yards (tackle by Mike Brown),1.800,1.790
2,12:18,2,6,NWE 47,0,3,Tom Brady pass complete to Troy Brown for 16 yards (tackle by Mike Brown and Brian Urlacher),1.790,3.120
2,11:40,1,10,CHI 37,0,3,Antowain Smith right guard for 5 yards (tackle by Mike Caldwell and Brian Urlacher),3.120,3.250
2,11:07,2,5,CHI 32,0,3,Antowain Smith left guard for -3 yards (tackle by Christian Peter),3.250,2.150
2,10:25,3,8,CHI 35,0,3,Tom Brady sacked by Alex Brown and Rosevelt Colvin for -4 yards,2.150,0.660
2,10:20,4,12,CHI 39,3,3,Adam Vinatieri 57 yard field goal good,0.660,3.000
2,10:20,,,NWE 30,3,3,"Adam Vinatieri kicks off 62 yards, returned by Ahmad Merritt for 24 yards (tackle by Otis Smith)",0.000,1.070
2,10:06,1,10,CHI 32,3,3,Anthony Thomas right guard for 6 yards (tackle by Ted Johnson),1.070,1.340
2,9:29,2,4,CHI 38,3,3,"Anthony Thomas left end for 2 yards (tackle by Tedy Bruschi). Penalty on Marty Booker: Offensive Holding, 10 yards (no play)",1.340,-0.010
2,9:08,2,14,CHI 28,3,3,Chris Chandler pass incomplete intended for Marty Booker (defended by Tebucky Jones),-0.010,-0.690
2,9:02,3,14,CHI 28,3,3,Chris Chandler pass complete to Marcus Robinson for 13 yards (tackle by Mike Vrabel),-0.690,-0.650
2,8:15,4,1,CHI 41,3,3,Chris Chandler middle for 2 yards (tackle by Lawyer Milloy),-0.650,1.800
2,7:54,1,10,CHI 43,3,3,Leon Johnson pass complete to Leon Johnson for 27 yards (tackle by Tebucky Jones),1.800,3.580
2,7:25,1,10,NWE 30,3,3,Anthony Thomas right tackle for 1 yard (tackle by Rick Lyle),3.580,3.170
2,6:46,2,9,NWE 29,3,3,Jim Miller pass complete to Stanley Pritchett for 7 yards (tackle by Willie McGinest),3.170,3.400
2,6:15,2,9,NWE 29,,,Timeout #1 by Chicago Bears,3.170,3.400
2,6:15,3,2,NWE 22,3,3,Anthony Thomas left guard for no gain (tackle by Lawyer Milloy),3.400,2.120
2,5:35,4,2,NWE 22,3,6,Paul Edinger 40 yard field goal good,2.120,3.000
2,5:35,,,CHI 30,3,6,"Paul Edinger kicks off 52 yards, returned by Deion Branch for 6 yards (tackle by Michael Green)",0.000,0.540
2,5:25,1,10,NWE 24,3,6,Tom Brady pass complete to Troy Brown for 11 yards (tackle by Brian Urlacher and R.W. McQuarters),0.540,1.270
2,4:47,1,10,NWE 35,3,6,Tom Brady pass complete to Antowain Smith for no gain,1.270,0.720
2,4:11,2,10,NWE 35,3,6,Antowain Smith left tackle for 7 yards (tackle by Michael Green),0.720,0.960
2,3:32,3,3,NWE 42,3,6,Tom Brady pass incomplete intended for Daniel Graham,0.960,-0.590
2,3:28,4,3,NWE 42,3,6,"Ken Walter punts 45 yards, fair catch by Leon Johnson",-0.590,0.320
2,3:20,1,10,CHI 13,3,6,Jim Miller pass complete to Anthony Thomas for 4 yards (tackle by Otis Smith),-0.320,-0.300
2,2:38,2,6,CHI 17,3,6,Jim Miller pass complete to John Davis for 8 yards (tackle by Lawyer Milloy),-0.300,0.610
2,2:00,1,10,CHI 25,3,6,Jim Miller pass incomplete intended for Leon Johnson (defended by Willie McGinest),0.610,0.060
2,1:55,2,10,CHI 25,3,6,Jim Miller pass complete to Dez White for 1 yard (tackle by Willie McGinest),0.060,-0.490
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:49,3,9,CHI 26,3,6,Jim Miller pass complete to Marty Booker for 8 yards (tackle by Roman Phifer),-0.490,-1.110
2,1:39,3,9,CHI 26,,,Timeout #2 by New England Patriots,-0.490,-1.110
2,1:39,4,1,CHI 34,3,6,"Brad Maynard punts 45 yards, returned by Troy Brown for 11 yards (tackle by Todd McMillon)",-1.110,-1.070
2,1:28,1,10,NWE 32,3,6,Kevin Faulk left guard for 9 yards (tackle by Mike Caldwell),1.070,1.740
2,1:06,2,1,NWE 41,3,6,Tom Brady pass complete to Kevin Faulk for 25 yards (tackle by R.W. McQuarters and Mike Brown),1.740,3.310
2,0:55,1,10,CHI 34,3,6,Tom Brady pass complete to Deion Branch for 9 yards (tackle by Brian Urlacher),3.310,3.990
2,0:31,2,1,CHI 25,3,6,Tom Brady pass complete to Troy Brown for 9 yards (tackle by Mike Caldwell and Reggie Austin),3.990,4.510
2,0:25,2,1,CHI 25,,,Timeout #3 by New England Patriots,3.990,4.510
2,0:25,1,10,CHI 16,3,6,Tom Brady pass complete to David Patten for 3 yards (tackle by Mike Caldwell),4.510,4.390
2,0:09,2,7,CHI 13,3,6,Tom Brady pass incomplete,4.390,3.540
