Unnamed: 0,NWE,IND
First Downs,20,15
Rush-Yds-TDs,19-81-0,39-226-1
Cmp-Att-Yd-TD-INT,26-45-299-2-2,5-12-57-1-1
Sacked-Yards,1-15,1-8
Net Pass Yards,284,49
Total Yards,365,275
Fumbles-Lost,2-0,0-0
Turnovers,2,1
Penalties-Yards,8-50,2-13
Third Down Conv.,6-15,2-10
Fourth Down Conv.,1-3,3-3
Time of Possession,29:38,30:22
