Quarter,Time,Tm,Detail,NWE,IND
1.0,3:53,Colts,Nyheim Hines 8 yard pass from Carson Wentz (Michael Badgley kick),0,7
,0:14,Colts,E.J. Speed blocked punt recovery in end zone (Michael Badgley kick),0,14
2.0,4:31,Colts,Michael Badgley 25 yard field goal,0,17
3.0,11:49,Colts,Michael Badgley 41 yard field goal,0,20
4.0,14:55,Patriots,Hunter Henry 12 yard pass from Mac Jones (Nick Folk kick),7,20
,8:57,Patriots,Nick Folk 25 yard field goal,10,20
,2:21,Patriots,Hunter Henry 7 yard pass from Mac Jones (Nick Folk kick),17,20
,2:01,Colts,Jonathan Taylor 67 yard rush (Michael Badgley kick),17,27
