Quarter,Time,Down,ToGo,Location,NWE,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Jake Bailey kicks off 60 yards, returned by Isaiah Rodgers for 21 yards (tackle by Jahlani Tavai and Brandon King)",,
1,14:55,1,10,IND 26,0,0,Carson Wentz pass complete short right to Michael Pittman for 7 yards (tackle by Devin McCourty),,
1,14:14,2,3,IND 33,0,0,"Carson Wentz pass incomplete short right intended for Michael Pittman (defended by J.C. Jackson). Penalty on Braden Smith: Ineligible Downfield Pass, 5 yards (declined)",,
1,14:09,3,3,IND 33,0,0,Carson Wentz pass incomplete deep right intended for Michael Pittman,,
1,14:04,4,3,IND 33,0,0,"Rigoberto Sanchez punts 46 yards, returned by Gunner Olszewski for 1 yard. Gunner Olszewski fumbles (forced by George Odum). Gunner Olszewski fumbles out of bounds (tackle by George Odum)",,
1,13:53,1,10,NWE 22,0,0,Rhamondre Stevenson right tackle for 4 yards (tackle by DeForest Buckner and Kenny Moore),,
1,13:17,2,6,NWE 26,0,0,Mac Jones pass complete short right to Rhamondre Stevenson for 4 yards (tackle by Shaquille Leonard),,
1,12:43,3,2,NWE 30,0,0,Mac Jones pass complete short middle to Jakobi Meyers for 10 yards (tackle by Shaquille Leonard),,
1,12:20,1,10,NWE 40,0,0,Mac Jones scrambles left end for 12 yards (tackle by DeForest Buckner),,
1,11:48,1,10,IND 48,0,0,Kendrick Bourne left end for 1 yard (tackle by Zaire Franklin and E.J. Speed),,
1,11:11,2,9,IND 47,0,0,"Mac Jones pass complete short right to Jonnu Smith for no gain (tackle by Kenny Moore). Penalty on Shaq Mason: Ineligible Downfield Pass, 5 yards (accepted) (no play)",,
1,10:36,2,14,NWE 48,0,0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",,
1,10:19,2,19,NWE 43,0,0,Rhamondre Stevenson left end for 4 yards (tackle by Isaac Rochell),,
1,9:37,3,15,NWE 47,0,0,Mac Jones sacked by DeForest Buckner for -15 yards,,
1,8:59,4,30,NWE 32,0,0,"Jake Bailey punts 46 yards, fair catch by Nyheim Hines at IND-22",,
1,8:51,1,10,IND 22,0,0,Ashton Dulin left end for 37 yards (tackle by Devin McCourty),,
1,8:15,1,10,NWE 41,0,0,Jonathan Taylor right guard for 11 yards (tackle by Devin McCourty and Adrian Phillips),,
1,7:31,1,10,NWE 30,0,0,Jonathan Taylor right tackle for 4 yards (tackle by Deatrich Wise),,
1,6:47,2,6,NWE 26,0,0,Jonathan Taylor left guard for 6 yards (tackle by Carl Davis and Jalen Mills),,
1,6:02,1,10,NWE 20,0,0,Jonathan Taylor up the middle for 4 yards (tackle by Lawrence Guy and Kyle Dugger),,
1,5:23,2,6,NWE 16,0,0,Jonathan Taylor left tackle for 5 yards (tackle by Davon Godchaux),,
1,4:38,3,1,NWE 11,0,0,Jonathan Taylor up the middle for 3 yards (tackle by Kyle Dugger and Ja'Whaun Bentley),,
1,4:00,1,8,NWE 8,0,6,"Carson Wentz pass complete short middle to Nyheim Hines for 8 yards, touchdown",,
1,3:53,,,NWE 15,0,7,Michael Badgley kicks extra point good,,
1,3:53,,,IND 35,0,7,"Rigoberto Sanchez kicks off 65 yards, returned by Gunner Olszewski for 20 yards (tackle by E.J. Speed)",,
1,3:49,1,10,NWE 20,0,7,Rhamondre Stevenson right guard for -2 yards (tackle by Khari Willis),,
1,3:11,2,12,NWE 18,0,7,Mac Jones pass complete short right to Kendrick Bourne for 9 yards (tackle by Isaiah Rodgers and Khari Willis),,
1,2:23,3,3,NWE 27,0,7,Mac Jones pass complete short right to Jakobi Meyers for 4 yards (tackle by Kenny Moore),,
1,1:49,1,10,NWE 31,0,7,Rhamondre Stevenson left tackle for 4 yards (tackle by Grover Stewart),,
1,1:06,2,6,NWE 35,0,7,Rhamondre Stevenson left tackle for -3 yards (tackle by Kenny Moore),,
1,0:26,3,9,NWE 32,0,7,Mac Jones pass incomplete deep left intended for Jakobi Meyers,,
1,0:21,4,9,NWE 32,0,13,"Jake Bailey punts blocked by Matthew Adams, touchdown",,
1,0:14,,,NWE 15,0,14,Michael Badgley kicks extra point good,,
1,0:14,,,IND 35,0,14,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
1,0:14,1,10,NWE 25,0,14,Mac Jones pass complete short right to Jonnu Smith for 3 yards (tackle by Kenny Moore),,
Quarter,Time,Down,ToGo,Location,NWE,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,NWE 28,0,14,Mac Jones pass complete short right to Nelson Agholor for 5 yards (tackle by Kenny Moore),,
2,14:18,3,2,NWE 33,0,14,Brandon Bolden right end for -2 yards (tackle by Shaquille Leonard),,
2,13:36,4,4,NWE 31,0,14,Jake Bailey punts 34 yards out of bounds,,
2,13:28,1,10,IND 35,0,14,Jonathan Taylor right tackle for 4 yards (tackle by Lawrence Guy and Jamie Collins),,
2,12:41,2,6,IND 39,0,14,Jonathan Taylor right tackle for 2 yards (tackle by Lawrence Guy and Jamie Collins),,
2,11:56,3,4,IND 41,0,14,Jonathan Taylor right guard for 3 yards (tackle by Matt Judon),,
2,11:13,4,1,IND 44,0,14,Carson Wentz up the middle for 1 yard (tackle by Kyle Van Noy),,
2,10:23,1,10,IND 45,0,14,Carson Wentz pass complete deep right to Zach Pascal for 23 yards (tackle by Adrian Phillips and J.C. Jackson),,
2,9:42,1,10,NWE 32,0,14,Jonathan Taylor right guard for 1 yard (tackle by Adrian Phillips),,
2,8:56,2,9,NWE 31,0,14,Carson Wentz scrambles left end for 11 yards (tackle by Kyle Van Noy),,
2,8:12,1,10,NWE 20,0,14,Jonathan Taylor left end for 7 yards (tackle by Adrian Phillips and Kyle Dugger),,
2,7:38,,,,,,Timeout #1 by New England Patriots,,
2,7:38,2,3,NWE 13,0,14,Jonathan Taylor right guard for 2 yards (tackle by Adrian Phillips and Christian Barmore),,
2,6:53,3,1,NWE 11,0,14,Jonathan Taylor up the middle for 3 yards (tackle by Matt Judon),,
2,6:12,1,8,NWE 8,0,14,Jonathan Taylor up the middle for 1 yard (tackle by Davon Godchaux),,
2,5:25,2,7,NWE 7,0,14,Jonathan Taylor up the middle for no gain (tackle by Christian Barmore and Jalen Mills),,
2,4:39,3,7,NWE 7,0,14,Carson Wentz pass incomplete short middle intended for Mo Alie-Cox,,
2,4:34,4,7,NWE 7,0,17,Michael Badgley 25 yard field goal good,,
2,4:31,,,IND 35,0,17,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
2,4:31,1,10,NWE 25,0,17,Mac Jones pass complete short right to Kendrick Bourne for 15 yards (tackle by Kenny Moore),,
2,3:52,1,10,NWE 40,0,17,Rhamondre Stevenson left tackle for 13 yards (tackle by Bobby Okereke),,
2,3:12,1,10,IND 47,0,17,Mac Jones pass incomplete deep middle intended for Jonnu Smith,,
2,3:07,2,10,IND 47,0,17,Mac Jones pass complete deep right to Hunter Henry for 25 yards (tackle by Khari Willis),,
2,2:22,1,10,IND 22,0,17,Jakobi Meyers right end for 9 yards (tackle by Shaquille Leonard),,
2,2:00,2,1,IND 13,0,17,"Penalty on Jonnu Smith: False Start, 5 yards (accepted) (no play)",,
2,2:00,2,6,IND 18,0,17,Brandon Bolden left end for 3 yards (tackle by Andrew Sendejo),,
2,1:52,,,,,,Timeout #1 by Indianapolis Colts,,
2,1:52,3,3,IND 15,0,17,Mac Jones pass short middle intended for Hunter Henry is intercepted by Shaquille Leonard at IND-6 and returned for -3 yards (tackle by Jakob Johnson),,
2,1:43,1,10,IND 3,0,17,Jonathan Taylor up the middle for 9 yards (tackle by Kyle Dugger),,
2,1:07,2,1,IND 12,0,17,Jonathan Taylor up the middle for 7 yards (tackle by Davon Godchaux),,
2,0:23,1,10,IND 19,0,17,Jonathan Taylor left end for 1 yard (tackle by Dont'a Hightower),,
Quarter,Time,Down,ToGo,Location,NWE,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,0,17,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
3,15:00,1,10,NWE 25,0,17,Rhamondre Stevenson right tackle for 2 yards (tackle by Bobby Okereke and DeForest Buckner),,
3,14:30,2,8,NWE 27,0,17,Mac Jones pass complete short right to Jakobi Meyers for 7 yards (tackle by Isaiah Rodgers),,
3,13:49,3,1,NWE 34,0,17,Mac Jones pass short right intended for Brandon Bolden is intercepted by Bobby Okereke at NE-36 and returned for 16 yards (tackle by Brandon Bolden),,
3,13:38,1,10,NWE 20,0,17,Carson Wentz pass complete short left to Jack Doyle for no gain (tackle by Kyle Dugger),,
3,12:55,2,10,NWE 20,0,17,Carson Wentz pass incomplete short right intended for Michael Pittman (defended by J.C. Jackson),,
3,12:48,3,10,NWE 20,0,17,Carson Wentz sacked by Deatrich Wise for -8 yards,,
3,11:59,4,18,NWE 28,0,17,"Michael Badgley yard field goal no good. Penalty on Brandon King: Defensive Offside, 5 yards (accepted) (no play)",,
3,11:54,4,13,NWE 23,0,20,Michael Badgley 41 yard field goal good,,
3,11:49,,,IND 35,0,20,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
3,11:49,1,10,NWE 25,0,20,Rhamondre Stevenson up the middle for 5 yards (tackle by Zaire Franklin and Grover Stewart),,
3,11:19,2,5,NWE 30,0,20,"Rhamondre Stevenson up the middle for 3 yards. Rhamondre Stevenson fumbles (forced by Shaquille Leonard), recovered by Jonnu Smith at NE-33 (tackle by Shaquille Leonard)",,
3,10:34,3,2,NWE 33,0,20,"Penalty on Taylor Stallworth: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
3,10:14,1,10,NWE 38,0,20,Mac Jones pass incomplete deep right intended for Nelson Agholor (defended by Kenny Moore),,
3,10:06,2,10,NWE 38,0,20,"Rhamondre Stevenson up the middle for no gain (tackle by Andrew Sendejo). Penalty on Kendrick Bourne: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",,
3,9:39,2,20,NWE 28,0,20,Mac Jones pass complete short left to Nelson Agholor for 9 yards (tackle by Isaiah Rodgers),,
3,8:58,3,11,NWE 37,0,20,Mac Jones pass complete short left to Nelson Agholor for 10 yards (tackle by Isaiah Rodgers),,
3,8:17,4,1,NWE 47,0,20,Mac Jones pass incomplete deep right intended for Nelson Agholor,,
3,8:12,1,10,NWE 47,0,20,Carson Wentz pass incomplete short right intended for Michael Pittman (defended by J.C. Jackson),,
3,8:06,2,10,NWE 47,0,20,Jonathan Taylor up the middle for 6 yards (tackle by Davon Godchaux),,
