Unnamed: 0,NYG,DAL
First Downs,19,23
Rush-Yds-TDs,26-97-0,29-251-3
Cmp-Att-Yd-TD-INT,25-38-330-2-0,13-29-127-1-3
Sacked-Yards,0-0,0-0
Net Pass Yards,330,127
Total Yards,427,378
Fumbles-Lost,0-0,1-1
Turnovers,0,4
Penalties-Yards,4-40,4-50
Third Down Conv.,6-15,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,34:49,25:11
