Quarter,Time,Down,ToGo,Location,JAX,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,JAX 25,0,0,Leonard Fournette middle for -1 yards (tackle by Chandler Jones),0.610,-0.070
1,14:23,2,11,JAX 24,0,0,Leonard Fournette left tackle for 1 yard (tackle by Frostee Rucker),-0.070,-0.620
1,13:38,3,10,JAX 25,0,0,"Penalty on Marcedes Lewis: False Start, 5 yards (no play)",-0.620,-1.290
1,13:29,3,15,JAX 20,0,0,Blake Bortles pass incomplete short left intended for T.J. Yeldon,-1.290,-2.030
1,13:24,4,15,JAX 20,0,0,"Brad Nortman punts 49 yards, returned by Kerwynn Williams for 2 yards (tackle by Lerentee McCray)",-2.030,-1.140
1,13:13,1,10,ARI 33,0,0,Adrian Peterson middle for 1 yard (tackle by Abry Jones),1.140,0.730
1,12:39,2,9,ARI 34,0,0,Chad Williams right end for no gain (tackle by Paul Posluszny),0.730,0.040
1,11:53,3,9,ARI 34,0,0,Blaine Gabbert pass complete deep middle to Ricky Seals-Jones for 26 yards (tackle by Barry Church),0.040,2.920
1,11:11,1,10,JAX 40,0,0,Blaine Gabbert pass complete short right to Adrian Peterson for 9 yards (tackle by A.J. Bouye),2.920,3.590
1,10:29,2,1,JAX 31,0,0,Adrian Peterson middle for 7 yards (tackle by Barry Church),3.590,3.970
1,9:51,1,10,JAX 24,0,0,Blaine Gabbert pass incomplete short right intended for Larry Fitzgerald,3.970,3.430
1,9:45,2,10,JAX 24,0,0,Blaine Gabbert pass complete short left to Chad Williams for 8 yards (tackle by Jalen Ramsey),3.430,3.950
1,9:03,3,2,JAX 16,0,0,Blaine Gabbert pass complete short right to Adrian Peterson for no gain,3.950,2.500
1,8:26,4,2,JAX 16,0,3,Phil Dawson 34 yard field goal good,2.500,3.000
1,8:22,,,ARI 35,0,3,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
1,8:22,1,10,JAX 25,0,3,Blake Bortles pass complete short middle to Dede Westbrook for 8 yards (tackle by Karlos Dansby),0.610,1.140
1,7:45,2,2,JAX 33,0,3,Leonard Fournette middle for 5 yards (tackle by Frostee Rucker and Deone Bucannon),1.140,1.470
1,7:26,1,10,JAX 38,0,3,Blake Bortles pass incomplete short middle intended for Keelan Cole,1.470,0.920
1,7:21,2,10,JAX 38,0,3,Leonard Fournette left tackle for 2 yards (tackle by Xavier Williams),0.920,0.500
1,6:40,3,8,JAX 40,0,3,Blake Bortles pass incomplete deep left intended for Dede Westbrook,0.500,-0.720
1,6:33,4,8,JAX 40,0,3,"Brad Nortman punts 35 yards, fair catch by Kerwynn Williams",-0.720,-0.610
1,6:25,1,10,ARI 25,0,3,Adrian Peterson right tackle for 5 yards (tackle by Jalen Ramsey),0.610,0.740
1,5:51,2,5,ARI 30,0,3,Blaine Gabbert pass complete short left to Larry Fitzgerald for -7 yards (tackle by Jalen Ramsey),0.740,-0.890
1,5:11,3,12,ARI 23,0,3,"Penalty on Adrian Peterson: False Start, 5 yards (no play)",-0.890,-1.720
1,4:54,3,17,ARI 18,0,3,"Blaine Gabbert sacked by Malik Jackson for -1 yards. Blaine Gabbert fumbles (forced by Malik Jackson), recovered by Malik Jackson at ARI-20. Penalty on Telvin Smith: Illegal Contact, 5 yards (no play)",-1.720,0.480
1,4:44,1,10,ARI 23,0,3,Adrian Peterson middle for 3 yards (tackle by Telvin Smith),0.480,0.340
1,4:07,2,7,ARI 26,0,3,Blaine Gabbert pass complete short left to Adrian Peterson for 4 yards (tackle by Barry Church),0.340,0.170
1,3:28,3,3,ARI 30,0,3,Blaine Gabbert pass complete short right to Jermaine Gresham for 7 yards (tackle by Barry Church),0.170,1.400
1,2:43,1,10,ARI 37,0,3,Blaine Gabbert pass complete short middle to Troy Niklas for 13 yards (tackle by Paul Posluszny and Telvin Smith),1.400,2.260
1,2:04,1,10,,0,3,Kerwynn Williams middle for 2 yards (tackle by Telvin Smith),2.260,1.980
1,1:19,2,8,JAX 48,0,3,Kerwynn Williams middle for 2 yards (tackle by Telvin Smith),1.980,1.550
1,0:38,3,6,JAX 46,0,3,Blaine Gabbert pass incomplete short middle intended for Jermaine Gresham (defended by Aaron Colvin),1.550,0.200
1,0:34,4,6,JAX 46,0,3,Andy Lee punts 42 yards,0.200,0.380
1,0:22,1,10,JAX 4,0,3,Leonard Fournette middle for 1 yard (tackle by Josh Bynes),-0.380,-0.710
Quarter,Time,Down,ToGo,Location,JAX,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,JAX 5,0,3,Blake Bortles pass complete short left to Dede Westbrook for 10 yards (tackle by Josh Bynes and Patrick Peterson),-0.710,-0.220
2,14:30,1,10,JAX 15,0,3,Blake Bortles pass complete short right to Leonard Fournette for 17 yards (tackle by Patrick Peterson),-0.220,1.070
2,13:57,1,10,JAX 32,0,3,"Blake Bortles pass complete short middle to Keelan Cole for 21 yards (tackle by Karlos Dansby). Penalty on JAX: Illegal Shift, 5 yards (no play)",1.070,0.740
2,13:37,1,15,JAX 27,0,3,Leonard Fournette right tackle for 8 yards (tackle by Budda Baker),0.740,0.930
2,12:58,2,7,JAX 35,0,3,Blake Bortles pass incomplete short left intended for Dede Westbrook,0.930,0.230
2,12:52,3,7,JAX 35,0,3,"Blake Bortles pass incomplete deep left intended for Dede Westbrook. Penalty on Chandler Jones: Roughing the Passer, 15 yards (no play)",0.230,2.260
2,12:46,1,10,,0,3,Leonard Fournette middle for 4 yards (tackle by Xavier Williams),2.260,2.250
2,12:08,2,6,ARI 46,0,3,Blake Bortles pass incomplete deep right intended for Keelan Cole,2.250,1.550
2,12:02,3,6,ARI 46,0,3,Blake Bortles pass complete short right to T.J. Yeldon for 7 yards (tackle by Budda Baker),1.550,2.980
2,11:26,1,10,ARI 39,0,3,"Penalty on ARI: Defensive 12 On-field, 5 yards (no play)",2.980,3.710
2,11:12,1,5,ARI 34,0,3,"Chris Ivory middle for -6 yards (tackle by Josh Bynes). Chris Ivory fumbles (forced by Josh Bynes), recovered by Karlos Dansby at ARI-40",3.710,-1.600
