Quarter,Time,Down,ToGo,Location,IND,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 64 yards, returned by Zach Pascal for 19 yards (tackle by Anthony Sherman and Eric Murray)",0.000,0.280
1,14:55,1,10,IND 20,0,0,Marlon Mack up the middle for -3 yards (tackle by Dee Ford),0.280,-0.790
1,14:14,2,13,IND 17,0,0,Marlon Mack right end for 10 yards (tackle by Jordan Lucas and Daniel Sorensen),-0.790,-0.030
1,13:27,3,3,IND 27,0,0,Andrew Luck pass incomplete short middle intended for Eric Ebron,-0.030,-1.570
1,13:22,4,3,IND 27,0,0,"Rigoberto Sanchez punts 53 yards, returned by Tyreek Hill for no gain (tackle by Najee Goode) Penalty on KAN: Offensive Holding, 10 yards",-1.570,0.380
1,13:05,1,10,KAN 10,0,0,Patrick Mahomes pass complete short middle to Tyreek Hill for 11 yards (tackle by J.J. Wilcox),-0.380,0.340
1,12:30,1,10,KAN 21,0,0,"Penalty on Denico Autry: Neutral Zone Infraction, 5 yards (no play)",0.340,1.070
1,12:08,1,5,KAN 26,0,0,Damien Williams left tackle for 4 yards (tackle by Darius Leonard),1.070,1.020
1,11:25,2,1,KAN 30,0,0,Patrick Mahomes pass complete short left to Travis Kelce for 16 yards (tackle by Clayton Geathers and Kenny Moore),1.020,1.990
1,10:42,1,10,KAN 46,0,0,"Patrick Mahomes pass complete short middle to Sammy Watkins for 34 yards (tackle by J.J. Wilcox). Penalty on J.J. Wilcox: Horse Collar Tackle, 10 yards",1.990,4.910
1,10:11,1,10,IND 10,0,6,"Damien Williams right tackle for 10 yards, touchdown",4.910,7.000
1,10:05,,,IND 15,0,7,Harrison Butker kicks extra point good,0.000,0.000
1,10:05,,,KAN 35,0,7,"Harrison Butker kicks off 62 yards, returned by Zach Pascal for 23 yards (tackle by Eric Murray)",0.000,0.670
1,9:59,1,10,IND 26,0,7,Andrew Luck pass incomplete short left intended for T.Y. Hilton (defended by Chris Jones),0.670,0.130
1,9:53,2,10,IND 26,0,7,Andrew Luck pass incomplete short left intended for Ryan Hewitt (defended by Justin Houston),0.130,-0.560
1,9:48,3,10,IND 26,0,7,Andrew Luck pass incomplete deep right intended for Zach Pascal (defended by Charvarius Ward),-0.560,-1.630
1,9:40,4,10,IND 26,0,7,"Rigoberto Sanchez punts 43 yards, returned by Tyreek Hill for -1 yards (tackle by Christopher Milton)",-1.630,-0.940
1,9:32,1,10,KAN 30,0,7,Patrick Mahomes pass complete short left to Damien Williams for 4 yards (tackle by Matthew Adams and Anthony Walker),0.940,0.930
1,8:54,2,6,KAN 34,0,7,Patrick Mahomes pass incomplete short right intended for Chris Conley (defended by Pierre Desir),0.930,0.230
1,8:49,3,6,KAN 34,0,7,Patrick Mahomes pass complete short middle to Tyreek Hill for 10 yards (tackle by Darius Leonard),0.230,1.860
1,8:12,1,10,KAN 44,0,7,Patrick Mahomes pass incomplete deep right intended for Tyreek Hill,1.860,1.320
1,8:06,2,10,KAN 44,0,7,Patrick Mahomes pass incomplete short right intended for Sammy Watkins,1.320,0.630
1,8:02,3,10,KAN 44,0,7,"Patrick Mahomes pass incomplete short middle intended for Demarcus Robinson. Penalty on Kenny Moore: Defensive Offside, 5 yards (no play)",0.630,1.290
1,7:57,3,5,KAN 49,0,7,Patrick Mahomes up the middle for 4 yards (tackle by Jabaal Sheard),1.290,0.130
1,7:15,4,1,IND 47,0,7,Damien Williams middle for 11 yards (tackle by Pierre Desir),0.130,3.180
1,6:39,1,10,IND 36,0,13,"Tyreek Hill left end for 36 yards, touchdown",3.180,7.000
1,6:28,,,IND 15,0,14,Harrison Butker kicks extra point good,0.000,0.000
1,6:28,,,KAN 35,0,14,"Harrison Butker kicks off 53 yards, returned by Jordan Wilkins for 11 yards (tackle by Darrel Williams)",0.000,0.480
1,6:22,1,10,IND 23,0,14,Marlon Mack up the middle for 6 yards (tackle by Derrick Nnadi and Xavier Williams),0.480,0.740
1,5:37,2,4,IND 29,0,14,Marlon Mack up the middle for 2 yards (tackle by Dee Ford),0.740,0.300
1,4:54,3,2,IND 31,0,14,Andrew Luck sacked by Justin Houston for -3 yards,0.300,-1.500
1,4:21,4,5,IND 28,0,14,"Rigoberto Sanchez punts 46 yards, fair catch by Tyreek Hill at KC-26",-1.500,-0.670
1,4:12,1,10,KAN 26,0,14,Patrick Mahomes pass incomplete short right intended for Travis Kelce (defended by Kenny Moore),0.670,0.130
1,4:08,2,10,KAN 26,0,14,Patrick Mahomes pass complete short middle to Travis Kelce for 14 yards (tackle by Grover Stewart),0.130,1.600
1,3:25,1,10,KAN 40,0,14,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,1.600,1.050
1,3:19,2,10,KAN 40,0,14,Patrick Mahomes pass complete deep right to Travis Kelce for 16 yards (tackle by Kenny Moore and J.J. Wilcox),1.050,2.650
1,2:35,,,,,,Timeout #1 by Kansas City Chiefs,,
1,2:35,1,10,IND 44,0,14,Patrick Mahomes pass complete short middle to Tyreek Hill for 7 yards (tackle by Al-Quadin Muhammad),2.650,3.060
1,2:04,2,3,IND 37,0,14,Damien Williams left guard for 2 yards (tackle by Clayton Geathers and Al-Quadin Muhammad),3.060,2.610
1,1:23,3,1,IND 35,0,14,Patrick Mahomes pass incomplete short right intended for Demetrius Harris,2.610,1.000
1,1:15,4,1,IND 35,0,14,Damien Williams middle for 4 yards (tackle by Clayton Geathers and Denico Autry),1.000,3.510
1,0:38,1,10,IND 31,0,14,Darrel Williams up the middle for 2 yards (tackle by Kenny Moore),3.510,3.240
Quarter,Time,Down,ToGo,Location,IND,KAN,Detail,EPB,EPA
