Unnamed: 0,IND,KAN
First Downs,15,29
Rush-Yds-TDs,14-87-0,33-180-4
Cmp-Att-Yd-TD-INT,19-36-203-1-0,27-41-278-0-0
Sacked-Yards,3-24,4-25
Net Pass Yards,179,253
Total Yards,266,433
Fumbles-Lost,1-1,3-1
Turnovers,1,1
Penalties-Yards,10-70,6-54
Third Down Conv.,0-9,4-14
Fourth Down Conv.,1-1,3-4
Time of Possession,20:11,39:49
