Quarter,Time,Tm,Detail,SEA,DEN
1.0,3:58,Broncos,Jason Elam 37 yard field goal,0,3
2.0,6:14,Broncos,Stephen Alexander 7 yard pass from Jay Cutler (Jason Elam kick),0,10
,5:00,Seahawks,Darryl Tapp 25 yard interception return (Josh Brown kick),7,10
,0:00,Broncos,Jason Elam 41 yard field goal,7,13
4.0,8:13,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),14,13
,4:08,Seahawks,Josh Brown 44 yard field goal,17,13
,2:58,Seahawks,Josh Brown 23 yard field goal,20,13
,2:37,Broncos,Brandon Marshall 71 yard pass from Jay Cutler (Jason Elam kick),20,20
,0:05,Seahawks,Josh Brown 50 yard field goal,23,20
