Quarter,Time,Tm,Detail,GNB,DAL
1.0,8:24,Cowboys,Cole Beasley 2 yard pass from Dak Prescott (Dan Bailey kick),0,7
,4:01,Packers,Davante Adams 10 yard pass from Aaron Rodgers (Mason Crosby kick failed),6,7
2.0,13:37,Cowboys,Cole Beasley 5 yard pass from Dak Prescott (Dan Bailey kick),6,14
,6:10,Cowboys,Dez Bryant 10 yard pass from Dak Prescott (Dan Bailey kick),6,21
,0:54,Packers,Aaron Jones 7 yard rush (Mason Crosby kick failed),12,21
3.0,11:09,Packers,Mason Crosby 22 yard field goal,15,21
4.0,14:54,Packers,Jordy Nelson 10 yard pass from Aaron Rodgers (Mason Crosby kick),22,21
,11:45,Cowboys,Dan Bailey 43 yard field goal,22,24
,9:56,Packers,Damarious Randall 21 yard interception return (pass failed),28,24
,1:13,Cowboys,Dak Prescott 11 yard rush (Dan Bailey kick),28,31
,0:11,Packers,Davante Adams 12 yard pass from Aaron Rodgers (Mason Crosby kick),35,31
