Unnamed: 0,GNB,DAL
First Downs,25,26
Rush-Yds-TDs,25-160-1,35-163-1
Cmp-Att-Yd-TD-INT,19-29-221-3-0,25-36-251-3-1
Sacked-Yards,4-39,1-6
Net Pass Yards,182,245
Total Yards,342,408
Fumbles-Lost,1-1,3-2
Turnovers,1,3
Penalties-Yards,6-38,7-70
Third Down Conv.,3-7,7-12
Fourth Down Conv.,1-1,3-3
Time of Possession,24:54,35:06
