Unnamed: 0,NYG,NWE
First Downs,10,27
Rush-Yds-TDs,16-52-0,34-114-3
Cmp-Att-Yd-TD-INT,15-31-161-1-3,31-41-334-0-1
Sacked-Yards,1-0,3-21
Net Pass Yards,161,313
Total Yards,213,427
Fumbles-Lost,1-1,2-1
Turnovers,4,2
Penalties-Yards,5-40,3-20
Third Down Conv.,2-10,6-13
Fourth Down Conv.,0-1,0-2
Time of Possession,20:24,39:36
