Quarter,Time,Tm,Detail,NYG,NWE
1.0,1:41,Patriots,Chase Winovich 6 yard blocked punt return (Mike Nugent kick),0,7
2.0,7:11,Patriots,Brandon Bolden 1 yard rush (Mike Nugent kick),0,14
,6:05,Giants,Golden Tate 64 yard pass from Daniel Jones (Aldrick Rosas kick),7,14
,4:38,Giants,Markus Golden 42 yard fumble return (Aldrick Rosas kick),14,14
,0:36,Patriots,Tom Brady 1 yard rush (Mike Nugent kick),14,21
4.0,8:33,Patriots,Kyle Van Noy 22 yard fumble return (Mike Nugent kick),14,28
,3:49,Patriots,Tom Brady 1 yard rush (Mike Nugent kick),14,35
