Quarter,Time,Tm,Detail,SEA,NOR
2.0,14:52,Seahawks,Shaun Alexander 14 yard pass from Matt Hasselbeck (Josh Brown kick),7,0
,6:38,Seahawks,Shaun Alexander 6 yard rush (Josh Brown kick),14,0
,2:54,Saints,Ernie Conwell 6 yard pass from Aaron Brooks (John Carney kick),14,7
3.0,3:06,Seahawks,Shaun Alexander 9 yard rush (Josh Brown kick),21,7
