Unnamed: 0,SEA,NOR
First Downs,21,12
Rush-Yds-TDs,43-169-2,19-74-0
Cmp-Att-Yd-TD-INT,19-29-246-1-1,18-37-223-1-1
Sacked-Yards,0-0,2-16
Net Pass Yards,246,207
Total Yards,415,281
Fumbles-Lost,1-1,2-2
Turnovers,2,3
Penalties-Yards,5-45,8-68
Third Down Conv.,6-15,3-14
Fourth Down Conv.,0-0,0-1
Time of Possession,33:37,26:23
