Unnamed: 0,SEA,PIT
First Downs,20,14
Rush-Yds-TDs,25-137-0,33-181-2
Cmp-Att-Yd-TD-INT,26-49-273-1-1,10-22-166-1-2
Sacked-Yards,3-14,1-8
Net Pass Yards,259,158
Total Yards,396,339
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,7-70,3-20
Third Down Conv.,5-17,8-15
Fourth Down Conv.,1-2,0-0
Time of Possession,33:02,26:58
