Quarter,Time,Tm,Detail,SEA,PIT
1.0,0:22,Seahawks,Josh Brown 47 yard field goal,3,0
2.0,1:55,Steelers,Ben Roethlisberger 1 yard rush (Jeff Reed kick),3,7
3.0,14:38,Steelers,Willie Parker 75 yard rush (Jeff Reed kick),3,14
,6:45,Seahawks,Jerramy Stevens 16 yard pass from Matt Hasselbeck (Josh Brown kick),10,14
4.0,8:56,Steelers,Hines Ward 43 yard pass from Antwaan Randle El (Jeff Reed kick),10,21
