Quarter,Time,Tm,Detail,STL,TEN
1.0,3:06,Titans,Chris Johnson 39 yard rush (Rob Bironas kick),0,7
,0:06,Titans,Chris Johnson 66 yard pass from Vince Young (Rob Bironas kick),0,14
2.0,6:57,Titans,Rob Bironas 27 yard field goal,0,17
,1:04,Titans,Rob Bironas 34 yard field goal,0,20
,0:00,Titans,Rob Bironas 36 yard field goal,0,23
3.0,8:15,Titans,Rob Bironas 50 yard field goal,0,26
,2:02,Titans,Chris Johnson 3 yard rush (Rob Bironas kick),0,33
4.0,13:02,Rams,Randy McMichael 11 yard pass from Keith Null (Josh Brown kick),7,33
,7:31,Titans,Alge Crumpler 1 yard pass from Kerry Collins (Rob Bironas kick),7,40
,5:44,Titans,Vincent Fuller 45 yard interception return (Rob Bironas kick),7,47
