Quarter,Time,Down,ToGo,Location,STL,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 32,0,14,Keith Null pass incomplete short right intended for Danny Amendola (defended by Vincent Fuller),1.070,0.530
2,14:57,2,10,STL 32,0,14,Keith Null pass complete short right to Steven Jackson for 8 yards (tackle by Keith Bulluck),0.530,0.890
2,14:27,3,2,STL 40,0,14,"Keith Null pass complete short right to Brandon Gibson for 5 yards (tackle by Kyle Vanden Bosch). Brandon Gibson fumbles (forced by Kyle Vanden Bosch), recovered by Adam Goldberg at STL-45",0.890,2.260
2,13:37,1,10,,0,14,"Penalty on Alex Barron: False Start, 5 yards (no play)",2.260,1.930
2,13:14,1,15,STL 45,0,14,Steven Jackson middle for no gain (tackle by Keith Bulluck and Sen'Derrick Marks),1.930,1.040
2,12:36,2,15,STL 45,0,14,Keith Null pass incomplete short right intended for Donnie Avery,1.040,0.370
2,12:33,3,15,STL 45,0,14,Keith Null pass incomplete deep left intended for Brandon Gibson,0.370,-0.390
2,12:27,4,15,STL 45,0,14,"Donnie Jones punts 55 yards, touchback",-0.390,-0.280
2,12:18,1,10,TEN 20,0,14,"Chris Johnson right end for no gain (tackle by James Laurinaitis). Penalty on Eugene Amano: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,11:55,1,20,TEN 10,0,14,Chris Johnson middle for 5 yards (tackle by James Laurinaitis and Craig Dahl),-0.760,-1.070
2,11:16,2,15,TEN 15,0,14,Vince Young pass complete short left to Chris Johnson for no gain,-1.070,-1.860
2,10:28,3,15,TEN 15,0,14,Vince Young pass incomplete deep right intended for Justin Gage (defended by Ronald Bartell),-1.860,-2.440
2,10:19,4,15,TEN 15,0,14,Brett Kern punts 26 yards,-2.440,-2.850
2,10:12,1,10,TEN 41,0,14,Steven Jackson right tackle for -3 yards (tackle by William Hayes and Gerald McRath),2.850,1.900
2,9:29,2,13,TEN 44,0,14,Danny Amendola right end for -10 yards (tackle by William Hayes),1.900,-0.100
2,8:45,3,23,STL 46,0,14,"Keith Null pass complete short right to Kenneth Darby for 3 yards (tackle by Stephen Tulloch). Penalty on Richie Incognito: Unnecessary Roughness, 15 yards",-0.100,-1.110
2,8:26,4,35,STL 34,0,14,"Donnie Jones punts 49 yards, returned by Alvin Pearman for 9 yards (tackle by Kenneth Darby)",-1.110,-0.670
2,8:15,1,10,TEN 26,0,14,Vince Young middle for 44 yards (tackle by James Butler),0.670,3.580
2,8:02,,,,0,14,Timeout #1 by Tennessee Titans,0.000,3.580
2,8:02,1,10,STL 30,0,14,Kerry Collins pass complete short left to Alge Crumpler for 20 yards (tackle by Paris Lenon),3.580,4.910
2,7:41,1,10,STL 10,0,14,Chris Johnson right end for 1 yard (tackle by Leonard Little and James Butler),4.910,4.380
2,7:12,2,9,STL 9,0,14,Kerry Collins pass incomplete short right intended for Ahmard Hall,4.380,3.360
2,7:07,3,9,STL 9,0,14,Kerry Collins pass incomplete short middle intended for Bo Scaife,3.360,2.830
2,7:02,4,9,STL 9,0,17,Rob Bironas 27 yard field goal good,2.830,3.000
2,,,,TEN 30,0,17,"Rob Bironas kicks off 62 yards, returned by Danny Amendola for 25 yards (tackle by Kevin Kaesviharn)",0.000,1.140
2,6:50,1,10,STL 33,0,17,Steven Jackson left guard for 7 yards (tackle by Cortland Finnegan and Sen'Derrick Marks),1.140,1.540
2,6:09,2,3,STL 40,0,17,Keith Null pass complete short left to Brandon Gibson for 8 yards (tackle by Cortland Finnegan),1.540,2.130
2,5:33,1,10,STL 48,0,17,Keith Null pass incomplete short middle intended for Steven Jackson is intercepted by Keith Bulluck at TEN-46 and returned for 4 yards,2.130,-2.260
2,5:26,1,10,STL 50,0,17,Chris Johnson left tackle for 10 yards (tackle by Craig Dahl),2.260,2.920
2,4:52,1,10,STL 40,0,17,Kerry Collins pass complete short left to Alge Crumpler for 6 yards (tackle by Craig Dahl),2.920,3.180
2,4:10,2,4,STL 34,0,17,Chris Johnson right tackle for 7 yards (tackle by James Butler),3.180,3.780
2,3:30,1,10,STL 27,0,17,Chris Johnson left tackle for -1 yards (tackle by Clifton Ryan),3.780,3.100
2,2:50,2,11,STL 28,0,17,Chris Johnson middle for -1 yards (tackle by Leger Douzable),3.100,2.280
2,2:10,3,12,STL 29,0,17,"Kerry Collins pass incomplete deep right intended for Nate Washington (defended by Ronald Bartell). Penalty on Chris Long: Defensive Offside, 5 yards (no play)",2.280,2.940
2,2:03,3,7,STL 24,0,17,Kerry Collins pass complete short left to Bo Scaife for 15 yards (tackle by David Roach),2.940,5.140
2,1:56,1,9,STL 9,0,17,Chris Johnson left guard for 3 yards (tackle by Clifton Ryan),5.140,4.950
2,1:20,2,6,STL 6,0,17,Kerry Collins pass incomplete short left intended for Chris Johnson,4.950,4.040
2,1:16,3,6,STL 6,0,17,"Kerry Collins pass incomplete. Penalty on Kerry Collins: Intentional Grounding, 10 yards, Penalty on Kevin Mawae: Ineligible Downfield Pas (Declined)",4.040,2.380
2,1:09,4,16,STL 16,0,20,Rob Bironas 34 yard field goal good,2.380,3.000
2,,,,TEN 30,0,20,"Rob Bironas kicks off 66 yards, returned by Danny Amendola for 16 yards (tackle by Eric Bakhtiari)",0.000,0.280
2,0:59,1,10,STL 20,0,20,Keith Null pass complete short left to Steven Jackson for 6 yards (tackle by Kevin Kaesviharn),0.280,0.540
2,0:49,,,,0,20,Timeout #1 by Los Angeles Rams,0.000,0.540
2,0:49,2,4,STL 26,0,20,Keith Null pass incomplete short middle intended for Randy McMichael (defended by Keith Bulluck),0.540,-0.160
2,0:45,3,4,STL 26,0,20,Keith Null pass complete short left to Brandon Gibson for 9 yards (tackle by Michael Griffin). Penalty on William Hayes: Defensive Offside (Declined),-0.160,1.270
2,0:38,1,10,STL 35,0,20,Keith Null pass incomplete short right intended for Steven Jackson is intercepted by Cortland Finnegan at STL-40 and returned for -1 yards,1.270,-2.850
2,0:30,1,10,STL 41,0,20,Kerry Collins pass incomplete short right intended for Bo Scaife (defended by Justin King),2.850,2.310
2,0:25,2,10,STL 41,0,20,Kerry Collins pass incomplete deep left intended for Nate Washington,2.310,1.620
2,0:19,3,10,STL 41,0,20,Kerry Collins pass complete short left to Nate Washington for 6 yards (tackle by Justin King),1.620,0.980
2,0:12,,,,0,20,Timeout #2 by Tennessee Titans,0.000,0.980
2,0:12,4,4,STL 35,0,20,Chris Johnson left end for 17 yards (tackle by Quincy Butler and Chris Long),0.980,4.370
2,0:02,1,10,STL 18,0,23,Rob Bironas 36 yard field goal good,4.370,3.000
Quarter,Time,Down,ToGo,Location,STL,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,0,23,"Josh Brown kicks off 75 yards, returned by Kenny Britt for 12 yards (tackle by Jordan Kent)",0.000,-0.380
3,14:53,1,10,TEN 7,0,23,Chris Johnson right end for -1 yards (tackle by Darell Scott),-0.380,-0.850
3,14:17,2,11,TEN 6,0,23,Chris Johnson right tackle for 2 yards (tackle by James Laurinaitis),-0.850,-1.300
3,13:37,3,9,TEN 8,0,23,Chris Johnson left tackle for -3 yards (tackle by James Hall),-1.300,-2.490
3,12:52,4,12,TEN 5,0,23,"Brett Kern punts 54 yards, returned by Danny Amendola for 6 yards (tackle by Ken Amato)",-2.490,-2.060
3,12:40,1,10,STL 47,0,23,Steven Jackson right guard for 8 yards (tackle by Kyle Vanden Bosch and William Hayes),2.060,2.600
3,12:03,2,2,TEN 45,0,23,Keith Null sacked by Tony Brown for -5 yards,2.600,1.220
3,11:32,3,7,,0,23,Keith Null pass complete short middle to Danny Amendola for 4 yards (tackle by Stephen Tulloch),1.220,0.200
3,10:50,4,3,TEN 46,0,23,"Donnie Jones punts 28 yards, fair catch by Alvin Pearman",0.200,-0.040
3,10:42,1,10,TEN 18,0,23,Kerry Collins pass complete short left to Kenny Britt for 44 yards (tackle by David Vobora),0.040,3.050
3,10:01,1,10,STL 38,0,23,Kerry Collins pass complete short right to Alge Crumpler for 14 yards (tackle by David Vobora),3.050,3.970
3,9:31,1,10,STL 24,0,23,"Penalty on Alge Crumpler: False Start, 5 yards (no play)",3.970,3.640
3,9:10,1,15,STL 29,0,23,Chris Johnson middle for -3 yards (tackle by Leger Douzable),3.640,2.350
3,8:31,2,18,STL 32,0,23,Kerry Collins pass incomplete short right intended for Lavelle Hawkins,2.350,1.690
3,8:26,3,18,STL 32,0,23,Kerry Collins pass incomplete short left intended for Lavelle Hawkins,1.690,1.240
3,8:20,4,18,STL 32,0,26,Rob Bironas 50 yard field goal good,1.240,3.000
3,,,,TEN 30,0,26,"Rob Bironas kicks off 70 yards, returned by Danny Amendola for 18 yards (tackle by Ryan Mouton)",0.000,0.040
3,8:10,1,10,STL 18,0,26,Steven Jackson right tackle for -1 yards (tackle by Keith Bulluck),0.040,-0.650
3,7:37,2,11,STL 17,0,26,Keith Null pass complete short right to Brandon Gibson for 10 yards (tackle by Nick Harper),-0.650,-0.020
3,6:54,3,1,STL 27,0,26,Steven Jackson middle for 2 yards (tackle by Nick Harper and Keith Bulluck),-0.020,0.870
3,6:15,1,10,STL 29,0,26,Keith Null pass incomplete short left intended for Donnie Avery is intercepted by Keith Bulluck at STL-41 and returned for 18 yards,0.870,-4.040
3,6:04,1,10,STL 23,0,26,Chris Johnson right end for no gain (tackle by Craig Dahl and David Vobora),4.040,3.500
3,5:24,2,10,STL 23,0,26,Kerry Collins pass complete short left to Bo Scaife for 5 yards (tackle by Chris Chamberlain),3.500,3.490
3,4:46,3,5,STL 18,0,26,Chris Johnson middle for 2 yards (tackle by James Laurinaitis and Victor Adeyanju),3.490,2.480
3,4:05,4,3,STL 16,0,26,Kerry Collins pass complete short right to Bo Scaife for 7 yards (tackle by James Laurinaitis),2.480,5.140
3,3:25,1,9,STL 9,0,26,Chris Johnson middle for 2 yards (tackle by Chris Long and Chris Chamberlain),5.140,4.760
3,2:49,2,7,STL 7,0,26,Kerry Collins pass complete short right to Ahmard Hall for 4 yards (tackle by David Vobora),4.760,4.720
3,2:08,3,3,STL 3,0,32,"Chris Johnson left tackle for 3 yards, touchdown",4.720,7.000
3,,,,STL 2,0,33,Rob Bironas kicks extra point good,0.000,0.000
3,,,,TEN 30,0,33,"Rob Bironas kicks off 68 yards, returned by Danny Amendola for 30 yards (tackle by Jason McCourty)",0.000,1.070
3,1:56,1,10,STL 32,0,33,Steven Jackson right tackle for -4 yards (tackle by Nick Harper),1.070,-0.010
3,1:13,2,14,STL 28,0,33,"Penalty on Mark Setterstrom: False Start, 5 yards (no play)",-0.010,-0.690
3,0:49,2,19,STL 23,0,33,Keith Null pass incomplete short left intended for Billy Bajema,-0.690,-1.350
3,0:42,3,19,STL 23,0,33,Keith Null pass complete short middle to Samkon Gado for 13 yards (tackle by Keith Bulluck and Cortland Finnegan),-1.350,-0.980
3,0:03,4,6,STL 36,0,33,Kenneth Darby middle for 51 yards (tackle by Donnie Nickey and Michael Griffin),-0.980,4.710
Quarter,Time,Down,ToGo,Location,STL,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 13,0,33,"Keith Null pass complete short left to Steven Jackson for no gain. Keith Null fumbles, recovered by Keith Null at TEN-18",4.710,4.050
4,14:30,2,10,TEN 13,0,33,Steven Jackson middle for 6 yards (tackle by Jovan Haye),4.050,4.330
4,13:52,3,4,TEN 7,0,33,Steven Jackson middle for -4 yards (tackle by Tony Brown and Michael Griffin),4.330,2.700
4,13:08,4,8,TEN 11,6,33,"Keith Null pass complete short right to Randy McMichael for 11 yards, touchdown",2.700,7.000
4,,,,TEN 2,7,33,Josh Brown kicks extra point good,0.000,0.000
4,,,,STL 30,7,33,"Josh Brown kicks off 68 yards, returned by Kenny Britt for 37 yards (tackle by Kenneth Darby)",0.000,1.530
4,12:55,1,10,TEN 39,7,33,Chris Johnson left tackle for 8 yards (tackle by James Laurinaitis),1.530,2.070
4,12:14,2,2,TEN 47,7,33,Chris Johnson right end for -1 yards (tackle by Clifton Ryan),2.070,1.220
4,11:29,3,3,TEN 46,7,33,Chris Johnson left end for 10 yards (tackle by James Butler),1.220,2.650
4,10:57,1,10,STL 44,7,33,Chris Johnson left end for 7 yards (tackle by Larry Grant and Chris Chamberlain),2.650,3.060
4,10:16,2,3,STL 37,7,33,Chris Johnson left end for -1 yards (tackle by Clifton Ryan),3.060,2.210
4,10:00,,,,7,33,Timeout #1 by Tennessee Titans,0.000,2.210
4,10:00,3,4,STL 38,7,33,Kerry Collins pass complete deep right to Nate Washington for 32 yards (tackle by Justin King),2.210,5.830
,,,,,,,"STL challenged the pass completion ruling, and the play was upheld.",,
4,9:32,1,6,STL 6,7,33,Chris Johnson right tackle for 4 yards (tackle by James Butler and Darell Scott),5.830,5.720
4,8:56,2,2,STL 2,7,33,Chris Johnson middle for no gain (tackle by Larry Grant and Clifton Ryan),5.720,4.950
4,8:21,3,2,STL 2,7,33,Chris Johnson left end for 1 yard (tackle by James Laurinaitis and Larry Grant),4.950,3.550
4,7:39,4,1,STL 1,7,39,"Kerry Collins pass complete short right to Alge Crumpler for 1 yard, touchdown. Penalty on James Butler: Defensive Holding (Declined)",3.550,7.000
4,,,,STL 2,7,40,Rob Bironas kicks extra point good,0.000,0.000
4,,,,TEN 30,7,40,"Rob Bironas kicks off 72 yards, returned by Danny Amendola for 47 yards (tackle by Kevin Kaesviharn). Penalty on Daniel Fells: Offensive Holding, 10 yards",0.000,-0.060
4,7:24,1,10,STL 17,7,40,Keith Null pass complete short right to Billy Bajema for 8 yards (tackle by Stephen Tulloch and Gerald McRath),-0.060,0.620
4,6:49,2,2,STL 25,7,40,"Steven Jackson middle for 3 yards (tackle by Jovan Haye and William Hayes). Penalty on Cortland Finnegan: Unnecessary Roughness, 15 yards, Penalty on William Hayes: Defensive Offside (Declined)",0.620,1.800
4,6:24,1,10,STL 43,7,40,Steven Jackson right tackle for -2 yards (tackle by William Hayes and Keith Bulluck),1.800,0.980
4,5:52,2,12,STL 41,7,46,"Keith Null pass incomplete short right intended for Brandon Gibson is intercepted by Vincent Fuller at STL-45 and returned for 45 yards, touchdown",0.980,-7.000
4,,,,STL 2,7,47,Rob Bironas kicks extra point good,0.000,0.000
4,,,,TEN 30,7,47,"Rob Bironas kicks off 74 yards, returned by Danny Amendola for 19 yards (tackle by Alvin Pearman). Penalty on Billy Bajema: Illegal Block Above the , 7 yards",0.000,-0.380
4,5:39,1,10,STL 8,7,47,Keith Null pass complete short middle to Danny Amendola for 4 yards (tackle by Keith Bulluck),-0.380,-0.490
4,5:06,2,6,STL 12,7,47,Keith Null pass complete short middle to Danny Amendola for 8 yards (tackle by Keith Bulluck),-0.490,0.280
4,4:33,1,10,STL 20,7,47,Keith Null pass incomplete short middle intended for Donnie Avery (defended by Vincent Fuller),0.280,-0.270
4,4:27,2,10,STL 20,7,47,Keith Null pass complete short right to Donnie Avery for 10 yards (tackle by Nick Harper),-0.270,0.940
4,3:52,1,10,STL 30,7,47,Keith Null pass complete short right to Kenneth Darby for -2 yards (tackle by Kyle Vanden Bosch and Dave Ball),0.940,0.120
4,3:43,2,12,STL 28,7,47,Keith Null pass complete short right to Kenneth Darby for -1 yards (tackle by Nick Harper),0.120,-0.690
4,3:05,3,13,STL 27,7,47,Keith Null pass complete short right to Kenneth Darby for 3 yards (tackle by Tony Brown),-0.690,-1.370
4,2:23,4,10,STL 30,7,47,"Donnie Jones punts 44 yards, muffed catch by Alvin Pearman, recovered by Larry Grant and returned for no gain",-1.370,3.640
4,2:10,1,10,TEN 29,7,47,Keith Null pass complete short middle to Brandon Gibson for 4 yards (tackle by Michael Griffin),3.640,3.640
4,2:00,2,6,TEN 25,7,47,Keith Null pass complete short middle to Daniel Fells for 13 yards (tackle by Stephen Tulloch and Michael Griffin),3.640,4.780
4,1:21,1,10,TEN 12,7,47,Keith Null pass incomplete short right intended for Brandon Gibson (defended by Nick Harper),4.780,4.100
4,1:18,2,10,TEN 12,7,47,"Penalty on Brandon Gibson: False Start, 5 yards (no play)",4.100,3.420
4,1:18,2,15,TEN 17,7,47,Keith Null pass complete short left to Danny Amendola for -1 yards (tackle by Stephen Tulloch),3.420,2.730
4,0:41,3,16,TEN 18,7,47,Keith Null pass incomplete short left intended for Kenneth Darby,2.730,2.250
4,0:36,4,16,TEN 18,7,47,Keith Null pass incomplete deep left intended for Brandon Gibson is intercepted by Cortland Finnegan and returned for 41 yards,2.250,-1.070
4,0:16,1,10,TEN 32,7,47,Kerry Collins kneels for -1 yards,1.070,0.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
