Unnamed: 0,STL,TEN
First Downs,15,19
Rush-Yds-TDs,20-80-0,30-160-2
Cmp-Att-Yd-TD-INT,28-44-165-1-5,17-27-286-2-0
Sacked-Yards,1-5,0-0
Net Pass Yards,160,286
Total Yards,240,446
Fumbles-Lost,2-0,1-1
Turnovers,5,1
Penalties-Yards,10-82,4-40
Third Down Conv.,5-15,4-13
Fourth Down Conv.,2-3,3-3
Time of Possession,31:57,28:03
