Unnamed: 0,STL,JAX
First Downs,13,33
Rush-Yds-TDs,18-55-0,38-166-3
Cmp-Att-Yd-TD-INT,22-34-213-1-1,30-43-335-0-2
Sacked-Yards,1-6,3-9
Net Pass Yards,207,326
Total Yards,262,492
Fumbles-Lost,0-0,1-1
Turnovers,1,3
Penalties-Yards,6-52,3-15
Third Down Conv.,4-12,11-16
Fourth Down Conv.,0-0,0-0
Time of Possession,24:48,42:12
