Quarter,Time,Down,ToGo,Location,STL,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 69 yards, returned by Danny Amendola for 26 yards (tackle by Gerald Alexander)",0.000,0.740
1,14:53,1,10,STL 27,0,0,Steven Jackson right end for 2 yards (tackle by Gerald Alexander),0.740,0.470
1,14:23,2,8,STL 29,0,0,Marc Bulger pass complete deep left to Keenan Burton for 21 yards (tackle by Reggie Nelson),0.470,2.260
1,14:00,1,10,,0,0,Marc Bulger pass complete short left to Keenan Burton for 8 yards (tackle by Derek Cox and Brian Iwuh),2.260,2.790
1,13:29,2,2,JAX 42,0,0,Marc Bulger sacked for -6 yards,2.790,1.290
1,12:53,3,8,JAX 48,0,0,Marc Bulger pass complete short right to Steven Jackson for 18 yards (tackle by Brian Russell),1.290,3.580
1,12:13,1,10,JAX 30,0,0,Steven Jackson middle for 5 yards (tackle by Clint Ingram),3.580,3.710
1,11:32,2,5,JAX 25,0,0,Marc Bulger pass complete short middle to Steven Jackson for 6 yards (tackle by John Henderson),3.710,4.310
1,10:52,1,10,JAX 19,0,0,Kenneth Darby middle for 2 yards (tackle by Derek Landri),4.310,4.030
1,10:17,2,8,JAX 17,6,0,"Marc Bulger pass complete deep right to Donnie Avery for 17 yards, touchdown",4.030,7.000
1,,,,JAX 2,7,0,Josh Brown kicks extra point good,0.000,0.000
1,,,,STL 30,7,0,"Josh Brown kicks off 60 yards, returned by Brian Witherspoon for 32 yards (tackle by Billy Bajema)",0.000,1.730
1,10:04,1,10,JAX 42,7,0,Maurice Jones-Drew right end for 2 yards (tackle by Bradley Fletcher),1.730,1.460
1,9:28,2,8,JAX 44,7,0,Maurice Jones-Drew middle for 1 yard (tackle by O.J. Atogwe),1.460,0.890
1,8:51,3,7,JAX 45,7,0,David Garrard pass complete short left to Torry Holt for 10 yards (tackle by Ronald Bartell),0.890,2.590
1,8:15,1,10,STL 45,7,0,David Garrard pass complete deep left to Torry Holt for 41 yards (tackle by O.J. Atogwe),2.590,6.280
1,7:48,1,4,STL 4,7,6,"Maurice Jones-Drew middle for 4 yards, touchdown",6.280,7.000
1,,,,STL 2,7,6,Josh Scobee kicks extra point no good,0.000,-1.000
1,,,,JAX 30,7,6,"Josh Scobee kicks off 71 yards, returned by Danny Amendola for 58 yards (tackle by Gerald Alexander)",0.000,2.720
1,7:33,1,10,JAX 43,7,6,Marc Bulger pass incomplete deep middle intended for Donnie Avery is intercepted by Rashean Mathis at JAX-2 and returned for 17 yards,2.720,-0.150
1,7:18,1,10,JAX 19,7,6,Maurice Jones-Drew middle for 2 yards (tackle by James Laurinaitis),0.150,-0.060
1,6:38,2,8,JAX 21,7,6,David Garrard pass complete short right to Maurice Jones-Drew for 4 yards (tackle by Will Witherspoon),-0.060,-0.290
1,6:00,3,4,JAX 25,7,6,David Garrard pass incomplete short right intended for Mike Thomas,-0.290,-1.700
1,5:52,4,4,JAX 25,7,6,"Adam Podlesh punts 48 yards, returned by Danny Amendola for 11 yards (tackle by Quentin Groves)",-1.700,-1.470
1,5:42,1,10,STL 38,7,6,Steven Jackson middle for 2 yards,1.470,1.190
1,5:08,2,8,STL 40,7,6,Steven Jackson middle for no gain (tackle by Derrick Harvey),1.190,0.500
1,4:30,3,8,STL 40,7,6,Marc Bulger pass complete short middle to Danny Amendola for 7 yards (tackle by Quentin Groves and Reggie Nelson),0.500,-0.260
1,3:47,4,1,STL 47,7,6,Donnie Jones punts 29 yards,-0.260,-0.540
1,3:40,1,10,JAX 24,7,6,David Garrard pass complete short right to Mike Sims-Walker for 9 yards (tackle by O.J. Atogwe),0.540,1.210
1,3:02,2,1,JAX 33,7,6,Maurice Jones-Drew middle for 2 yards (tackle by Leonard Little),1.210,1.270
1,2:27,1,10,JAX 35,7,6,David Garrard pass complete deep middle to Mike Sims-Walker for 35 yards (tackle by Craig Dahl),1.270,3.580
1,1:44,1,10,STL 30,7,6,David Garrard pass complete short right to Mike Thomas for no gain,3.580,3.030
1,1:05,2,10,STL 30,7,6,Maurice Jones-Drew right end for 2 yards (tackle by James Laurinaitis),3.030,2.610
1,0:24,3,8,STL 28,7,6,David Garrard for 9 yards,2.610,4.310
Quarter,Time,Down,ToGo,Location,STL,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 19,7,6,"Maurice Jones-Drew middle for 1 yard (tackle by Ronald Bartell). Maurice Jones-Drew fumbles (forced by Ronald Bartell), recovered by Craig Dahl at STL-15 (tackle by Vince Manuwai)",4.310,0.220
2,14:52,1,10,STL 15,7,6,Steven Jackson right end for 2 yards (tackle by Gerald Alexander),-0.220,-0.440
2,14:16,2,8,STL 17,7,6,"Penalty on Alex Barron: False Start, 5 yards (no play)",-0.440,-1.000
2,13:56,2,13,STL 12,7,6,Steven Jackson middle for 2 yards (tackle by Brian Iwuh),-1.000,-1.510
2,13:20,3,11,STL 14,7,6,Marc Bulger pass complete short middle to Steven Jackson for 16 yards (tackle by Derrick Harvey),-1.510,0.940
2,12:35,1,10,STL 30,7,6,Marc Bulger pass incomplete deep left intended for Donnie Avery,0.940,0.390
2,12:28,2,10,STL 30,7,6,Steven Jackson right end for -2 yards (tackle by Clint Ingram),0.390,-0.560
2,11:48,3,12,STL 28,7,6,Marc Bulger pass complete short middle to Randy McMichael for 3 yards (tackle by Daryl Smith),-0.560,-1.310
2,11:07,4,9,STL 31,7,6,Donnie Jones punts 39 yards,-1.310,-0.940
2,11:00,1,10,JAX 30,7,6,David Garrard pass complete short middle to Mike Sims-Walker for 8 yards (tackle by Will Witherspoon),0.940,1.470
2,10:26,2,2,JAX 38,7,6,Maurice Jones-Drew middle for -3 yards (tackle by Clifton Ryan),1.470,0.370
2,9:44,3,5,JAX 35,7,6,David Garrard pass complete short left to Maurice Jones-Drew for 16 yards (tackle by David Roach),0.370,2.320
2,9:01,1,10,STL 49,7,6,David Garrard sacked by James Hall for -4 yards,2.320,1.240
2,8:26,2,14,JAX 47,7,6,David Garrard pass complete short middle to Mike Sims-Walker for 9 yards (tackle by James Laurinaitis),1.240,1.750
2,7:44,3,5,STL 44,7,6,David Garrard sacked by Leonard Little for -1 yards,1.750,0.270
2,7:08,4,6,STL 45,7,6,"Adam Podlesh punts 30 yards, fair catch by Danny Amendola",0.270,0.220
2,7:01,1,10,STL 15,7,6,Steven Jackson left end for 9 yards (tackle by Derek Cox),-0.220,0.620
2,6:21,2,1,STL 24,7,6,Marc Bulger pass complete short right to Steven Jackson for 3 yards (tackle by Gerald Alexander),0.620,0.740
2,5:46,1,10,STL 27,7,6,Marc Bulger pass complete short left to Steven Jackson for -3 yards (tackle by Reggie Nelson),0.740,-0.210
2,5:05,2,13,STL 24,7,6,Steven Jackson middle for 9 yards (tackle by Brian Russell),-0.210,0.300
2,4:27,3,4,STL 33,7,6,Marc Bulger pass complete short right to Keenan Burton for 4 yards (tackle by Rashean Mathis),0.300,1.400
2,3:43,1,10,STL 37,7,6,Samkon Gado middle for 3 yards (tackle by Terrance Knighton),1.400,1.260
2,3:11,2,7,STL 40,7,6,Marc Bulger pass complete short middle to Randy McMichael for 16 yards (tackle by Russell Allen),1.260,2.650
2,2:46,1,10,JAX 44,7,6,Steven Jackson middle for 7 yards (tackle by Daryl Smith),2.650,3.060
2,2:08,2,3,JAX 37,7,6,Marc Bulger pass incomplete deep middle intended for Daniel Fells,3.060,2.350
2,2:04,3,3,JAX 37,7,6,Steven Jackson middle for 2 yards,2.350,1.000
2,2:00,4,1,JAX 35,7,6,"Steven Jackson middle for no gain. Penalty on Clint Ingram: Defensive Offside, 5 yards (no play)",1.000,3.580
2,1:54,1,10,JAX 30,7,6,Steven Jackson right end for -3 yards (tackle by Clint Ingram),3.580,2.630
2,1:14,2,13,JAX 33,7,6,"Marc Bulger pass incomplete deep right intended for Daniel Fells. Penalty on Kenneth Darby: Tripping, 10 yards (no play)",2.630,1.280
2,1:07,2,23,JAX 43,7,6,Marc Bulger pass complete short middle to Kenneth Darby for 7 yards (tackle by Derrick Harvey),1.280,1.550
2,0:51,,,,7,6,Timeout #1 by Jacksonville Jaguars,0.000,1.550
2,0:51,3,16,JAX 36,7,6,Marc Bulger pass complete short right to Keenan Burton for 2 yards (tackle by Derek Cox),1.550,1.060
2,0:42,,,,7,6,Timeout #2 by Jacksonville Jaguars,0.000,1.060
2,0:42,4,14,JAX 34,10,6,Josh Brown 52 yard field goal good,1.060,3.000
2,,,,STL 30,10,6,"Josh Brown kicks off 74 yards, returned by Brian Witherspoon for 28 yards",0.000,0.540
2,0:32,1,10,JAX 24,10,6,David Garrard pass incomplete short middle intended for Marcedes Lewis,0.540,0.000
2,0:27,2,10,JAX 24,10,6,David Garrard pass complete short middle to Torry Holt for 16 yards (tackle by James Laurinaitis),0.000,1.600
2,0:19,,,,10,6,Timeout #3 by Jacksonville Jaguars,0.000,1.600
2,0:19,1,10,JAX 40,10,6,David Garrard pass incomplete short right intended for Torry Holt,1.600,1.050
2,0:15,2,10,JAX 40,10,6,David Garrard pass complete deep left to Mike Sims-Walker for 21 yards (tackle by Bradley Fletcher),1.050,2.980
2,0:05,,,,10,6,Timeout #1 by Los Angeles Rams,0.000,2.980
2,0:05,1,10,STL 39,10,6,Josh Scobee 58 yard field goal no good,2.980,1.990
Quarter,Time,Down,ToGo,Location,STL,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,10,6,"Josh Brown kicks off 73 yards, returned by Brian Witherspoon for 32 yards (tackle by David Roach)",0.000,0.870
3,14:53,1,10,JAX 29,10,6,"David Garrard pass incomplete deep left intended for Torry Holt. Penalty on Ronald Bartell: Defensive Pass Interfere, 20 yards (no play)",0.870,2.190
3,14:48,1,10,JAX 49,10,6,Maurice Jones-Drew middle for 3 yards (tackle by Chris Long),2.190,2.050
3,14:15,2,7,STL 48,10,6,David Garrard pass complete short right to Maurice Jones-Drew for 4 yards (tackle by Paris Lenon),2.050,1.880
3,13:54,3,3,STL 44,10,6,Maurice Jones-Drew left end for 6 yards (tackle by Bradley Fletcher),1.880,3.050
3,13:14,1,10,STL 38,10,6,David Garrard pass incomplete deep middle intended for Torry Holt (defended by Ronald Bartell),3.050,2.510
3,13:09,2,10,STL 38,10,6,David Garrard sacked by Clifton Ryan for -4 yards,2.510,1.290
3,12:32,3,14,STL 42,10,6,David Garrard pass incomplete short right intended for Torry Holt (defended by Leonard Little),1.290,0.460
,,,,,,,"JAX challenged the fumble ruling, and the original play was overturned.",,
3,12:30,4,14,STL 42,10,6,"Adam Podlesh punts 42 yards, touchback",0.460,-0.280
3,12:22,1,10,STL 20,10,6,Steven Jackson middle for 15 yards (tackle by Reggie Nelson),0.280,1.270
3,11:48,1,10,STL 35,10,6,Marc Bulger pass complete short right to Daniel Fells for 4 yards (tackle by Brian Russell),1.270,1.260
3,11:24,2,6,STL 39,10,6,Steven Jackson right end for 1 yard (tackle by Reggie Nelson),1.260,0.700
3,10:44,3,5,STL 40,10,6,Marc Bulger pass incomplete short middle intended for Danny Amendola,0.700,-0.720
3,10:39,4,5,STL 40,10,6,Donnie Jones punts 46 yards,-0.720,0.280
3,10:31,1,10,JAX 14,10,6,Maurice Jones-Drew middle for 9 yards,-0.280,0.550
3,9:53,2,1,JAX 23,10,6,Maurice Jones-Drew left end for -1 yards (tackle by Leger Douzable),0.550,-0.440
3,9:11,3,2,JAX 22,10,6,David Garrard pass complete short left to Marcedes Lewis for 5 yards (tackle by O.J. Atogwe),-0.440,0.740
3,8:34,1,10,JAX 27,10,6,David Garrard pass incomplete deep middle intended for Mike Sims-Walker (defended by Craig Dahl),0.740,0.200
3,8:27,2,10,JAX 27,10,6,"David Garrard pass incomplete short left intended for Torry Holt. Penalty on Ronald Bartell: Defensive Pass Interfere, 2 yards (no play)",0.200,0.870
3,8:23,1,10,JAX 29,10,6,Maurice Jones-Drew middle for 5 yards (tackle by Paris Lenon),0.870,1.000
3,7:45,2,5,JAX 34,10,6,Maurice Jones-Drew middle for 1 yard (tackle by James Laurinaitis),1.000,0.430
3,7:03,3,4,JAX 35,10,6,David Garrard pass complete short right to Mike Thomas for 7 yards (tackle by Craig Dahl),0.430,1.730
3,6:28,1,10,JAX 42,10,6,David Garrard pass complete short left to Rashad Jennings for -3 yards (tackle by Clifton Ryan),1.730,0.780
3,5:42,2,13,JAX 39,10,6,David Garrard pass complete short left to Maurice Jones-Drew for 8 yards (tackle by Jonathan Wade),0.780,1.160
3,4:58,3,5,JAX 47,10,6,"David Garrard pass incomplete short middle intended for Mike Thomas. Penalty on Jonathan Wade: Defensive Pass Interfere, 4 yards (no play)",1.160,2.320
3,4:54,1,10,STL 49,10,6,Maurice Jones-Drew middle for 2 yards (tackle by LaJuan Ramsey),2.320,2.050
3,4:14,2,8,STL 47,10,6,David Garrard pass incomplete short right intended for Mike Thomas (defended by Leonard Little),2.050,1.360
3,4:12,3,8,STL 47,10,6,David Garrard pass incomplete short right intended for Mike Sims-Walker (defended by Quincy Butler),1.360,0.130
3,4:05,4,8,STL 47,10,6,Adam Podlesh punts 25 yards,0.130,-0.410
3,3:55,1,10,STL 22,10,6,Marc Bulger pass complete short left to Keenan Burton for 2 yards (tackle by Derek Cox),0.410,0.140
3,3:23,2,8,STL 24,10,6,Marc Bulger pass incomplete short middle intended for Steven Jackson,0.140,-0.560
3,3:18,3,8,STL 24,10,6,Marc Bulger pass complete short right to Daniel Fells for 7 yards (tackle by Rashean Mathis),-0.560,-1.310
3,2:40,4,1,STL 31,10,6,Donnie Jones punts 37 yards,-1.310,-1.070
3,2:31,1,10,JAX 32,10,6,David Garrard pass complete deep left to Torry Holt for 18 yards (tackle by O.J. Atogwe),1.070,2.260
,,,,,,,"STL challenged the pass completion ruling, and the play was upheld.",,
3,2:20,1,10,,10,6,David Garrard pass complete short right to Torry Holt for 16 yards (tackle by Craig Dahl),2.260,3.310
3,1:38,1,10,STL 34,10,6,David Garrard pass complete short middle to Mike Thomas for 6 yards (tackle by Clifton Ryan),3.310,3.580
3,1:00,2,4,STL 28,10,6,David Garrard pass complete short right to Mike Thomas for 12 yards (tackle by Bradley Fletcher),3.580,4.510
3,0:22,1,10,STL 16,10,6,David Garrard pass incomplete short middle intended for Maurice Jones-Drew is intercepted by James Laurinaitis at STL-5 and returned for 21 yards,4.510,-0.670
3,0:13,1,10,STL 26,10,6,Steven Jackson middle for 2 yards (tackle by Montavious Stanley),0.670,0.400
Quarter,Time,Down,ToGo,Location,STL,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
