Quarter,Time,Tm,Detail,TEN,NWE
1.0,1:14,Titans,Corey Davis 15 yard pass from Marcus Mariota (Ryan Succop kick),7,0
2.0,13:18,Patriots,James White 5 yard pass from Tom Brady (Stephen Gostkowski kick),7,7
,9:20,Patriots,James White 6 yard rush (Stephen Gostkowski kick),7,14
,1:52,Patriots,Chris Hogan 4 yard pass from Tom Brady (Stephen Gostkowski kick),7,21
3.0,4:02,Patriots,Brandon Bolden 2 yard rush (Stephen Gostkowski kick),7,28
4.0,10:22,Patriots,Rob Gronkowski 4 yard pass from Tom Brady (Stephen Gostkowski kick),7,35
,1:55,Titans,Corey Davis 11 yard pass from Marcus Mariota (Ryan Succop kick),14,35
