Quarter,Time,Down,ToGo,Location,TEN,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NWE 25,0,0,Tom Brady pass complete short left to Danny Amendola for 6 yards (tackle by Logan Ryan),0.610,0.870
1,14:28,2,4,NWE 31,0,0,Dion Lewis right guard for 3 yards (tackle by Jurrell Casey),0.870,0.560
1,13:53,3,1,NWE 34,0,0,Tom Brady pass complete short right to Rob Gronkowski for 14 yards (tackle by Kevin Byard),0.560,2.130
1,13:15,1,10,NWE 48,0,0,Dion Lewis left guard for 4 yards (tackle by Brian Orakpo and Wesley Woodyard),2.130,2.120
1,12:53,2,6,TEN 48,0,0,Tom Brady pass incomplete short left intended for Chris Hogan,2.120,1.420
1,12:47,3,6,TEN 48,0,0,Tom Brady pass incomplete short right intended for Brandin Cooks,1.420,0.070
1,12:43,4,6,TEN 48,0,0,"Ryan Allen punts 40 yards, fair catch by Adoree' Jackson",0.070,0.380
1,12:37,1,10,TEN 8,0,0,Derrick Henry left guard for 3 yards (tackle by Elandon Roberts and Malcom Brown),-0.380,-0.560
1,12:00,2,7,TEN 11,0,0,Marcus Mariota pass complete short left to Corey Davis for 11 yards (tackle by Malcolm Butler),-0.560,0.410
1,11:29,1,10,TEN 22,0,0,Derrick Henry left tackle for 3 yards (tackle by Trey Flowers),0.410,0.270
1,10:49,2,7,TEN 25,0,0,Derrick Henry right tackle for no gain (tackle by James Harrison),0.270,0.000
1,10:03,,,,,,Timeout #1 by Tennessee Titans,0.000,0.430
1,10:03,3,7,TEN 25,0,0,Marcus Mariota sacked by Deatrich Wise Jr. for -4 yards,-0.430,-1.960
1,9:24,4,11,TEN 21,0,0,"Brett Kern punts 57 yards, returned by Danny Amendola for 12 yards (tackle by Tye Smith)",-1.960,-1.200
1,9:12,1,10,NWE 34,0,0,Dion Lewis right guard for -1 yards (tackle by Johnathan Cyprien and Logan Ryan),1.200,0.520
1,8:34,2,11,NWE 33,0,0,Dion Lewis right tackle for 3 yards (tackle by Avery Williamson),0.520,0.230
1,8:00,3,8,NWE 36,0,0,Tom Brady pass complete short left to Danny Amendola for 15 yards (tackle by Logan Ryan),0.230,2.320
1,7:22,1,10,TEN 49,0,0,Dion Lewis left guard for 3 yards (tackle by Kevin Byard and Avery Williamson),2.320,2.190
1,6:50,2,7,TEN 46,0,0,Tom Brady pass incomplete short right intended for Brandin Cooks,2.190,1.490
1,6:44,3,7,TEN 46,0,0,Tom Brady pass incomplete short left intended for Rob Gronkowski,1.490,0.200
1,6:41,4,7,TEN 46,0,0,"Ryan Allen punts 36 yards, returned by Adoree' Jackson for 3 yards (tackle by Jonathan Jones). Penalty on Daren Bates: Offensive Holding, 5 yards",0.200,0.380
1,6:31,1,10,TEN 5,0,0,Marcus Mariota pass complete deep right to Delanie Walker for 36 yards (tackle by Devin McCourty and Patrick Chung),-0.380,1.660
1,5:51,1,10,TEN 41,0,0,Derrick Henry left guard for 3 yards (tackle by Eric Lee),1.660,1.530
1,5:08,2,7,TEN 44,0,0,Marcus Mariota pass incomplete short right intended for Corey Davis (defended by Stephon Gilmore),1.530,0.830
1,5:03,3,7,TEN 44,0,0,Marcus Mariota right guard for 11 yards,0.830,2.590
1,4:21,1,10,NWE 45,0,0,Derrick Henry left end for 3 yards (tackle by Devin McCourty),2.590,2.450
1,3:42,2,7,NWE 42,0,0,Derrick Henry middle for 4 yards (tackle by Lawrence Guy and Malcom Brown),2.450,2.280
1,3:14,3,3,NWE 38,0,0,Marcus Mariota pass complete short middle to Rishard Matthews for 8 yards (tackle by Eric Rowe),2.280,3.580
1,2:38,1,10,NWE 30,0,0,Marcus Mariota pass incomplete deep right intended for Eric Decker,3.580,3.030
1,2:30,2,10,NWE 30,0,0,Marcus Mariota for 11 yards,3.030,4.310
1,2:00,1,10,NWE 19,0,0,Derrick Henry right guard for 4 yards (tackle by Lawrence Guy),4.310,4.350
1,1:20,2,6,NWE 15,6,0,"Marcus Mariota pass complete short left to Corey Davis for 15 yards, touchdown",4.350,7.000
1,1:14,,,NWE 15,7,0,Ryan Succop kicks extra point good,0.000,0.000
1,1:14,,,TEN 35,7,0,"Ryan Succop kicks off 65 yards, returned by Dion Lewis for 27 yards (tackle by Da'Norris Searcy)",0.000,-0.740
1,1:07,1,10,NWE 27,7,0,Tom Brady pass complete short left to Brandin Cooks for 12 yards (tackle by Logan Ryan),0.740,1.530
1,0:30,1,10,NWE 39,7,0,Tom Brady pass complete short middle to Dion Lewis for 5 yards (tackle by Wesley Woodyard),1.530,1.660
1,0:01,2,5,NWE 44,7,0,Dion Lewis left end for 6 yards (tackle by Erik Walden),1.660,2.260
Quarter,Time,Down,ToGo,Location,TEN,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,,7,0,Tom Brady pass complete short right to Dion Lewis for 31 yards (tackle by Wesley Woodyard),2.260,4.310
2,14:36,1,10,TEN 19,7,0,Tom Brady pass complete short middle to Dion Lewis for 14 yards (tackle by Erik Walden and Avery Williamson),4.310,6.060
2,13:57,1,5,TEN 5,7,0,James White middle for no gain (tackle by Kevin Byard and Avery Williamson),6.060,5.150
2,13:24,2,5,TEN 5,7,6,"Tom Brady pass complete short middle to James White for 5 yards, touchdown",5.150,7.000
2,13:18,,,TEN 15,7,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,13:18,,,NWE 35,7,7,"Stephen Gostkowski kicks off 68 yards, returned by Adoree' Jackson for 24 yards (tackle by Brandon King)",0.000,-0.340
2,13:13,1,10,TEN 21,7,7,Derrick Henry left guard for 2 yards (tackle by Elandon Roberts),0.340,0.070
2,12:37,2,8,TEN 23,7,7,Derrick Henry right guard for 4 yards (tackle by Trey Flowers),0.070,-0.100
2,11:54,3,4,TEN 27,7,7,"Marcus Mariota pass complete short left to Eric Decker for 13 yards (tackle by Malcolm Butler). Penalty on Eric Decker: Offensive Pass Interference, 10 yards (no play)",-0.100,-1.590
2,11:29,3,14,TEN 17,7,7,Marcus Mariota pass incomplete short right intended for Corey Davis (defended by Stephon Gilmore),-1.590,-2.320
2,11:23,4,14,TEN 17,7,7,"Brett Kern punts 36 yards, returned by Danny Amendola for 5 yards (tackle by Phillip Supernaw)",-2.320,-2.390
2,11:16,1,10,TEN 48,7,7,Tom Brady pass complete short left to Brandin Cooks for 13 yards (tackle by Logan Ryan),2.390,3.250
2,11:01,1,10,TEN 35,7,7,Tom Brady pass complete short right to Dion Lewis for 8 yards (tackle by Tye Smith and Logan Ryan),3.250,3.780
2,10:36,2,2,TEN 27,7,7,Dion Lewis left tackle for 9 yards (tackle by Wesley Woodyard),3.780,4.370
2,10:14,1,10,TEN 18,7,7,Dion Lewis left end for 5 yards (tackle by Kevin Byard),4.370,4.610
2,9:41,2,5,TEN 13,7,7,Tom Brady pass complete short left to James White for 7 yards (tackle by Kevin Byard),4.610,5.830
2,9:27,1,6,TEN 6,7,13,"James White left end for 6 yards, touchdown",5.830,7.000
2,9:20,,,TEN 15,7,14,Stephen Gostkowski kicks extra point good,0.000,0.000
2,9:20,,,NWE 35,7,14,"Stephen Gostkowski kicks off 68 yards, returned by Adoree' Jackson for 25 yards (tackle by Patrick Chung)",0.000,-0.410
2,9:11,1,10,TEN 22,7,14,Marcus Mariota pass complete short right to Eric Decker for 22 yards (tackle by James Harrison),0.410,1.860
2,8:44,1,10,TEN 44,7,14,Marcus Mariota pass incomplete deep left intended for Rishard Matthews,1.860,1.320
2,8:38,2,10,TEN 44,7,14,Derrick Henry right guard for 3 yards (tackle by James Harrison),1.320,1.030
2,7:56,3,7,TEN 47,7,14,Marcus Mariota pass complete short left to Taywan Taylor for 5 yards (tackle by Eric Rowe),1.030,0.070
2,7:17,4,2,NWE 48,7,14,"Brett Kern punts 31 yards, fair catch by Danny Amendola. Penalty on Lawrence Guy: Offensive Holding, 8 yards",0.070,0.380
2,7:10,1,10,NWE 9,7,14,Tom Brady pass complete short left to Danny Amendola for 5 yards (tackle by Logan Ryan),-0.380,-0.390
2,6:41,2,5,NWE 14,7,14,Tom Brady pass incomplete short middle intended for Chris Hogan,-0.390,-0.840
2,6:35,3,5,NWE 14,7,14,Tom Brady pass incomplete short middle intended for James White,-0.840,-2.470
2,6:32,4,5,NWE 14,7,14,"Penalty on Brynden Trawick: Neutral Zone Infraction, 5 yards (no play)",-2.470,0.150
2,6:32,1,10,NWE 19,7,14,Dion Lewis left end for 5 yards (tackle by Kevin Byard),0.150,0.340
2,5:50,2,5,NWE 24,7,14,"Tom Brady pass incomplete short middle intended for Rob Gronkowski. Penalty on Johnathan Cyprien: Illegal Contact, 5 yards (no play)",0.340,0.870
2,5:46,1,10,NWE 29,7,14,Tom Brady pass incomplete deep left intended for Brandin Cooks,0.870,0.330
2,5:40,2,10,NWE 29,7,14,Tom Brady pass complete short middle to Dion Lewis for 8 yards (tackle by Avery Williamson and Wesley Woodyard),0.330,0.700
2,5:05,3,2,NWE 37,7,14,Tom Brady pass complete short middle to Danny Amendola for 12 yards (tackle by Johnathan Cyprien),0.700,2.190
2,4:41,1,10,NWE 49,7,14,Tom Brady pass complete short left to Danny Amendola for 6 yards (tackle by Logan Ryan),2.190,2.460
2,4:22,2,4,TEN 45,7,14,Tom Brady pass incomplete short left intended for Brandin Cooks,2.460,1.750
2,4:18,3,4,TEN 45,7,14,Tom Brady pass complete short left to Rob Gronkowski for 7 yards (tackle by Kevin Byard),1.750,3.050
