Unnamed: 0,PIT,IND
First Downs,18,13
Rush-Yds-TDs,30-88-0,29-71-0
Cmp-Att-Yd-TD-INT,19-31-236-2-1,14-24-222-2-1
Sacked-Yards,1-8,3-26
Net Pass Yards,228,196
Total Yards,316,267
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,9-70,9-82
Third Down Conv.,5-13,6-15
Fourth Down Conv.,0-0,0-0
Time of Possession,29:58,30:02
