Quarter,Time,Tm,Detail,WAS,CHI
1.0,6:03,Bears,D.J. Moore 53 yard interception return (Robbie Gould kick),0,7
,1:08,Redskins,Santana Moss 24 yard pass from Donovan McNabb (Graham Gano kick),7,7
2.0,12:09,Redskins,Graham Gano 46 yard field goal,10,7
,0:24,Bears,Johnny Knox 9 yard pass from Jay Cutler (Robbie Gould kick),10,14
3.0,1:36,Redskins,DeAngelo Hall 92 yard interception return (Graham Gano kick),17,14
