Unnamed: 0,WAS,CHI
First Downs,13,19
Rush-Yds-TDs,28-121-0,16-66-0
Cmp-Att-Yd-TD-INT,17-32-200-1-2,26-40-281-1-4
Sacked-Yards,2-13,4-25
Net Pass Yards,187,256
Total Yards,308,322
Fumbles-Lost,6-1,2-2
Turnovers,3,6
Penalties-Yards,7-48,6-51
Third Down Conv.,2-13,2-10
Fourth Down Conv.,0-0,0-0
Time of Possession,29:12,30:48
