Quarter,Time,Tm,Detail,MIA,NYJ
1.0,1:02,Jets,Laveranues Coles 3 yard pass from Chad Pennington (Mike Nugent kick),0,7
2.0,13:00,Dolphins,Ronnie Brown 1 yard rush (Jay Feely kick),7,7
,12:47,Jets,Leon Washington 98 yard kickoff return (Mike Nugent kick),7,14
,7:19,Dolphins,Jay Feely 31 yard field goal,10,14
,1:36,Dolphins,Jay Feely 39 yard field goal,13,14
,0:02,Jets,Chris Baker 4 yard pass from Chad Pennington (Mike Nugent kick),13,21
3.0,7:57,Jets,Mike Nugent 21 yard field goal,13,24
4.0,12:51,Jets,Chad Pennington 2 yard rush (Mike Nugent kick),13,31
,8:56,Dolphins,Ronnie Brown 2 yard rush (Ronnie Brown run),21,31
,1:15,Dolphins,Ronnie Brown 22 yard pass from Trent Green (Jay Feely kick),28,31
