Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Cairo Santos kicks off 61 yards, returned by Trenton Cannon for 29 yards (tackle by Christian Jones)",,
1,14:54,1,10,SFO 33,0,0,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,,
1,14:50,2,10,SFO 33,0,0,Jimmy Garoppolo pass incomplete deep left intended for Brandon Aiyuk,,
1,14:45,3,10,SFO 33,0,0,Jimmy Garoppolo pass complete short middle to Mohamed Sanu for 21 yards (tackle by Kindle Vildor),,
1,14:08,1,10,CHI 46,0,0,Elijah Mitchell left tackle for 7 yards (tackle by Robert Quinn and Trevis Gipson),,
1,13:39,2,3,CHI 39,0,0,Elijah Mitchell right tackle for 1 yard (tackle by Trevis Gipson and Alec Ogletree),,
1,13:00,3,2,CHI 38,0,0,Jamycal Hasty right guard for 1 yard (tackle by Eddie Goldman),,
1,12:36,4,1,CHI 37,0,0,Jamycal Hasty right guard for 2 yards (tackle by Trevis Gipson),,
1,11:59,1,10,CHI 35,0,0,Jimmy Garoppolo pass complete short left to Deebo Samuel for -4 yards (tackle by Robert Quinn),,
1,11:19,2,14,CHI 39,0,0,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel,,
1,11:13,3,14,CHI 39,0,0,"Jimmy Garoppolo scrambles up the middle for no gain (tackle by Alec Ogletree). Penalty on Trent Williams: Offensive Holding, 10 yards (accepted) (no play)",,
1,10:35,3,24,CHI 49,0,0,Jimmy Garoppolo pass complete deep middle to Mohamed Sanu for 19 yards (tackle by Alec Ogletree),,
1,9:52,4,5,CHI 30,0,0,Joey Slye 48 yard field goal no good,,
1,9:48,1,10,CHI 38,0,0,Damien Williams right guard for -1 yards (tackle by D.J. Jones and K'Waun Williams),,
1,9:12,2,11,CHI 37,0,0,Justin Fields scrambles left end for 4 yards (tackle by Josh Norman),,
1,8:37,3,7,CHI 41,0,0,Justin Fields pass complete short right to Darnell Mooney for 14 yards (tackle by Emmanuel Moseley),,
