#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,SFO 33,11,5:12,37,Missed FG
2,1,4:38,SFO 25,6,1:47,45,Field Goal
3,2,12:03,SFO 25,7,2:30,41,Field Goal
4,2,1:16,SFO 25,7,1:16,71,Field Goal
5,3,8:33,SFO 25,7,2:37,75,Touchdown
6,3,2:00,SFO 48,6,2:49,52,Touchdown
7,4,9:32,SFO 25,5,2:58,75,Touchdown
8,4,4:24,SFO 37,7,2:28,49,Field Goal
9,4,1:34,,3,1:34,-3,End of Game
