Unnamed: 0,SFO,CHI
First Downs,21,22
Rush-Yds-TDs,26-145-3,36-176-1
Cmp-Att-Yd-TD-INT,17-28-322-0-0,19-27-175-1-1
Sacked-Yards,0-0,4-27
Net Pass Yards,322,148
Total Yards,467,324
Fumbles-Lost,0-0,3-0
Turnovers,0,1
Penalties-Yards,7-55,4-30
Third Down Conv.,4-10,8-15
Fourth Down Conv.,1-1,1-1
Time of Possession,23:11,36:49
