Quarter,Time,Tm,Detail,SFO,CHI
1.0,4:38,Bears,Cairo Santos 39 yard field goal,0,3
,2:51,49ers,Joey Slye 48 yard field goal,3,3
2.0,12:03,Bears,Jesse James 8 yard pass from Justin Fields (Cairo Santos kick),3,10
,9:33,49ers,Joey Slye 52 yard field goal,6,10
,1:16,Bears,Cairo Santos 40 yard field goal,6,13
,0:00,49ers,Joey Slye 22 yard field goal,9,13
3.0,8:33,Bears,Cairo Santos 25 yard field goal,9,16
,5:56,49ers,Jimmy Garoppolo 2 yard rush (Joey Slye kick failed),15,16
4.0,14:11,49ers,Elijah Mitchell 5 yard rush (Brandon Aiyuk pass from Jimmy Garoppolo),23,16
,9:32,Bears,Justin Fields 22 yard rush (Cairo Santos kick failed),23,22
,6:34,49ers,Jimmy Garoppolo 5 yard rush (Joey Slye kick),30,22
,1:56,49ers,Joey Slye 32 yard field goal,33,22
