Unnamed: 0,SFO,NYJ
First Downs,19,22
Rush-Yds-TDs,27-99-1,32-152-3
Cmp-Att-Yd-TD-INT,18-28-286-1-1,20-30-222-0-0
Sacked-Yards,3-14,0-0
Net Pass Yards,272,222
Total Yards,371,374
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,7-61,4-29
Third Down Conv.,5-12,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,27:44,32:16
