Quarter,Time,Tm,Detail,SFO,NYJ
1.0,0:25,49ers,Brandon Lloyd 33 yard pass from Tim Rattay (Todd Peterson kick),7,0
2.0,7:23,49ers,Kevan Barlow 2 yard rush (Todd Peterson kick),14,0
,2:12,Jets,Doug Brien 43 yard field goal,14,3
3.0,3:15,Jets,LaMont Jordan 17 yard rush (run failed),14,9
4.0,11:41,Jets,Curtis Martin 1 yard rush (pass failed),14,15
,0:25,Jets,Curtis Martin 9 yard rush (Doug Brien kick),14,22
