Quarter,Time,Down,ToGo,Location,SFO,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Todd Peterson kicks off 61 yards, returned by Jonathan Carter for 40 yards (tackle by Tony Parrish)",0.000,2.190
1,14:54,1,10,NYJ 49,0,0,Curtis Martin left end for 2 yards (tackle by Jeff Ulbrich and Brandon Whiting),2.190,1.920
1,14:14,2,8,SFO 49,0,0,Chad Pennington up the middle for 5 yards (tackle by Jamie Winborn),1.920,1.880
1,13:30,3,3,SFO 44,0,0,Chad Pennington pass complete to Jerald Sowell for 2 yards (tackle by Tony Parrish),1.880,0.460
1,12:55,4,1,SFO 42,0,0,"Toby Gowin punts 42 yards, touchback",0.460,-0.280
1,12:46,1,10,SFO 20,0,0,"Tim Rattay pass incomplete is intercepted by Erik Coleman at NYJ-45 and returned for 55 yards. Penalty on David Barrett: Illegal Contact, 5 yards (no play)",0.280,0.610
1,12:37,1,10,SFO 25,0,0,Tim Rattay pass incomplete intended for Kevan Barlow. Penalty on Kwame Harris: Illegal Touch Pass (Declined),0.610,0.060
1,12:33,2,10,SFO 25,0,0,Kevan Barlow left tackle for 4 yards (tackle by Jonathan Vilma),0.060,-0.100
1,11:56,3,6,SFO 29,0,0,Tim Rattay pass incomplete intended for Eric Johnson,-0.100,-1.440
1,11:51,4,6,SFO 29,0,0,"Andy Lee punts 38 yards, returned by Justin McCareins for 10 yards (tackle by Jeff Ulbrich)",-1.440,-1.800
1,11:40,1,10,NYJ 43,0,0,Curtis Martin up the middle for 14 yards (tackle by Shawntae Spencer and Ronnie Heard),1.800,2.720
1,11:02,1,10,SFO 43,0,0,Curtis Martin right end for -2 yards (tackle by John Engelberger and Jamie Winborn),2.720,1.910
1,10:19,2,12,SFO 45,0,0,Chad Pennington pass incomplete intended for Justin McCareins,1.910,1.220
1,10:13,3,12,SFO 45,0,0,Chad Pennington pass incomplete intended for Justin McCareins,1.220,0.270
1,10:06,4,12,SFO 45,0,0,"Toby Gowin punts 35 yards, fair catch by Arnaz Battle",0.270,0.380
1,9:57,1,10,SFO 10,0,0,Tim Rattay pass complete to Cedrick Wilson for 29 yards (tackle by Erik Coleman and Reggie Tongue),-0.380,1.530
1,9:19,1,10,SFO 39,0,0,Kevan Barlow left end for 7 yards (tackle by Eric Barton),1.530,1.930
1,8:52,2,3,SFO 46,0,0,Tim Rattay pass complete to Brandon Lloyd for 13 yards (tackle by David Barrett),1.930,2.850
1,8:14,1,10,NYJ 41,0,0,Kevan Barlow left end for -1 yards (tackle by Eric Barton),2.850,2.170
1,7:46,2,11,NYJ 42,0,0,Kevan Barlow left tackle for 2 yards (tackle by Jon McGraw),2.170,1.750
1,7:05,3,9,NYJ 40,0,0,Tim Rattay pass incomplete intended for Cedrick Wilson,1.750,0.590
1,6:59,4,9,NYJ 40,0,0,"Andy Lee punts 34 yards, fair catch by Justin McCareins",0.590,0.380
1,6:49,1,10,NYJ 6,0,0,Chad Pennington pass complete to Anthony Becht for 19 yards (tackle by Ahmed Plummer),-0.380,0.610
1,6:12,1,10,NYJ 25,0,0,Curtis Martin right guard for 2 yards (tackle by Brandon T. Moore),0.610,0.330
1,5:34,2,8,NYJ 27,0,0,Chad Pennington pass incomplete intended for Wayne Chrebet,0.330,-0.360
1,5:28,3,8,NYJ 27,0,0,Chad Pennington pass incomplete intended for Wayne Chrebet,-0.360,-1.570
1,5:23,4,8,NYJ 27,0,0,"Toby Gowin punts 57 yards, returned by Arnaz Battle for 6 yards (tackle by Jason Glenn)",-1.570,-0.410
1,5:07,1,10,SFO 22,0,0,Tim Rattay pass complete to Kevan Barlow for 9 yards (tackle by Erik Coleman and Eric Barton),0.410,1.080
1,4:25,2,1,SFO 31,0,0,Fred Beasley up the middle for 4 yards (tackle by Jonathan Vilma and Victor Hobson),1.080,1.270
1,3:56,1,10,SFO 35,0,0,Tim Rattay up the middle for 11 yards (tackle by Donnie Abraham),1.270,1.990
1,3:11,1,10,SFO 46,0,0,Tim Rattay pass incomplete intended for Brandon Lloyd,1.990,1.450
1,3:06,2,10,SFO 46,0,0,Kevan Barlow left tackle for 1 yard (tackle by Shaun Ellis),1.450,0.890
1,2:25,3,9,SFO 47,0,0,Tim Rattay pass complete to Cedrick Wilson for 19 yards (tackle by Reggie Tongue),0.890,3.310
1,1:48,1,10,NYJ 34,0,0,Kevan Barlow left tackle for 2 yards (tackle by Alan Harper and Bryan Thomas),3.310,3.040
1,1:15,2,8,NYJ 32,0,0,Kevan Barlow left end for -1 yards (tackle by David Barrett),3.040,2.210
