Quarter,Time,Down,ToGo,Location,DET,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Austin Ekeler left guard for 1 yard (tackle by John Cominsky),0.610,0.200
1,14:26,2,9,LAC 26,0,0,Justin Herbert pass complete short middle to Austin Ekeler for 3 yards (tackle by Jack Campbell),0.200,-0.100
1,13:50,3,6,LAC 29,0,0,Justin Herbert pass incomplete short right intended for Keenan Allen,-0.100,-1.440
1,13:44,4,6,LAC 29,0,0,"JK Scott punts 58 yards, returned by Kalif Raymond for 12 yards (tackle by Josh Harris)",-1.440,-0.610
1,13:32,1,10,DET 25,0,0,Jared Goff pass complete short left to Sam LaPorta for 9 yards (tackle by Eric Kendricks),0.610,1.280
1,12:57,2,1,DET 34,0,0,David Montgomery right tackle for 8 yards (tackle by Nick Williams),1.280,1.730
1,12:16,1,10,DET 42,0,0,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 46 yards (tackle by Alohi Gilman),1.730,4.780
1,11:40,1,10,LAC 12,0,0,David Montgomery right guard for 2 yards (tackle by Sebastian Joseph-Day and Austin Johnson),4.780,4.450
1,10:56,2,8,LAC 10,0,0,"Jared Goff pass complete to Jameson Williams for no gain. Penalty on Taylor Decker: Offensive Low Block, 15 yards (accepted) (no play)",4.450,2.470
1,10:50,2,23,LAC 25,0,0,Jared Goff pass incomplete short right intended for Kalif Raymond,2.470,1.820
1,10:47,3,23,LAC 25,0,0,Jahmyr Gibbs right tackle for 11 yards (tackle by Deane Leonard),1.820,2.510
1,10:13,4,12,LAC 14,3,0,Riley Patterson 33 yard field goal good,2.510,3.000
1,10:09,,,DET 35,3,0,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,10:09,1,10,LAC 25,3,0,Joshua Kelley right guard for 3 yards (tackle by Alex Anzalone),0.610,0.470
1,9:35,2,7,LAC 28,3,0,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Tracy Walker),0.470,1.470
1,9:03,1,10,LAC 38,3,0,Justin Herbert pass incomplete short left intended for Keenan Allen,1.470,0.920
1,8:59,2,10,LAC 38,3,0,Justin Herbert pass complete short left to Austin Ekeler for 24 yards (tackle by Alex Anzalone),0.920,3.050
1,8:14,1,10,DET 38,3,0,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Cameron Sutton),3.050,3.320
1,7:41,2,4,DET 32,3,0,Joshua Kelley up the middle for 2 yards (tackle by Alex Anzalone and Benito Jones),3.320,2.870
1,7:03,3,2,DET 30,3,0,Justin Herbert pass incomplete short right intended for Austin Ekeler,2.870,1.500
1,6:58,4,2,DET 30,3,3,Cameron Dicker 48 yard field goal good,1.500,3.000
1,6:54,,,LAC 35,3,3,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
1,6:54,1,10,DET 25,3,3,Jared Goff pass complete short middle to Amon-Ra St. Brown for 7 yards (tackle by Eric Kendricks),0.610,1.010
1,6:19,2,3,DET 32,3,3,"Jared Goff pass incomplete intended for Amon-Ra St. Brown. Penalty on Asante Samuel: Defensive Pass Interference, 16 yards (accepted) (no play)",1.010,2.130
1,6:14,1,10,DET 48,3,3,Jahmyr Gibbs left tackle for 5 yards (tackle by Otito Ogbonnia and Derwin James),2.130,2.260
1,5:34,2,5,LAC 47,3,3,Jahmyr Gibbs right end for 11 yards (tackle by Derwin James),2.260,3.180
1,4:55,1,10,LAC 36,3,3,Jahmyr Gibbs right end for 35 yards (tackle by Alohi Gilman),3.180,6.970
1,4:22,1,1,LAC 1,9,3,"Jahmyr Gibbs left end for 1 yard, touchdown",6.970,7.000
1,4:18,,,LAC 15,10,3,Riley Patterson kicks extra point good,0.000,0.000
1,4:18,,,DET 35,10,3,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,4:18,1,10,LAC 25,10,3,Austin Ekeler up the middle for 2 yards (tackle by Aidan Hutchinson),0.610,0.330
1,3:51,2,8,LAC 27,10,3,Justin Herbert pass short right intended for Gerald Everett is intercepted by Kerby Joseph at LAC-33 and returned for no gain,0.330,-3.380
1,3:45,1,10,LAC 33,10,3,Jared Goff pass incomplete deep left intended for Amon-Ra St. Brown (defended by Deane Leonard),3.380,2.840
1,3:40,2,10,LAC 33,10,3,Jared Goff pass incomplete short left intended for Josh Reynolds,2.840,2.150
1,3:37,3,10,LAC 33,10,3,Jared Goff pass complete short right to Kalif Raymond for 5 yards (tackle by Ja'Sir Taylor),2.150,1.630
1,2:57,,,,,,Timeout #1 by Detroit Lions,,
1,2:57,4,5,LAC 28,10,3,David Montgomery right guard for 6 yards (tackle by Dean Marlowe and Tuli Tuipulotu),1.630,4.110
1,2:13,1,10,LAC 22,10,3,Jared Goff pass complete short right to Brock Wright for -2 yards (tackle by Derwin James),4.110,3.290
