Quarter,Time,Tm,Detail,DET,LAC
1.0,10:09,Lions,Riley Patterson 33 yard field goal,3,0
,6:54,Chargers,Cameron Dicker 48 yard field goal,3,3
,4:18,Lions,Jahmyr Gibbs 1 yard rush (Riley Patterson kick),10,3
2.0,7:30,Lions,Jahmyr Gibbs 1 yard rush (Riley Patterson kick),17,3
,3:21,Chargers,Keenan Allen 29 yard pass from Justin Herbert (Cameron Dicker kick),17,10
,3:07,Lions,David Montgomery 75 yard rush (Riley Patterson kick),24,10
,0:23,Chargers,Austin Ekeler 2 yard rush (Cameron Dicker kick),24,17
3.0,7:59,Chargers,Jalen Guyton 18 yard pass from Justin Herbert (Cameron Dicker kick),24,24
,4:31,Lions,Amon-Ra St. Brown 20 yard pass from Jared Goff (Riley Patterson kick),31,24
4.0,11:30,Chargers,Quentin Johnston 1 yard pass from Justin Herbert (Cameron Dicker kick),31,31
,7:30,Lions,Brock Wright 25 yard pass from Jared Goff (Riley Patterson kick),38,31
,3:34,Chargers,Keenan Allen 38 yard pass from Justin Herbert (Cameron Dicker kick),38,38
,0:00,Lions,Riley Patterson 41 yard field goal,41,38
