Unnamed: 0,DET,LAC
First Downs,23,24
Rush-Yds-TDs,31-200-3,28-98-1
Cmp-Att-Yd-TD-INT,23-33-333-2-0,27-40-323-4-1
Sacked-Yards,0-0,0-0
Net Pass Yards,333,323
Total Yards,533,421
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,4-44,3-36
Third Down Conv.,4-13,7-14
Fourth Down Conv.,4-5,3-3
Time of Possession,30:34,29:26
